branch	head	main_only	branch_only	in_main
archive/main-htsim-rich-20260719	1578a3cd03ad920eb2829fbe768db7f010b80a12	108	138	false
archive/nmrc-goodcap-narrow-exact-20260717	97776f1159cd3c308165c4afccf74f275609f208	108	85	false
archive/pre-consolidation-20260817	8186330ce0f0126613462d7756c943815cb32369	0	0	true
checkpoint/before-sglb-exact-default-consolidation	4c197c8a2b5e30770a2ae35363e3ef25283bcf9e	108	114	false
checkpoint/mrc-exact-before-sglb-nmrc-grade	91391b13169e5f358ae8ee672798aa97f7fd909e	108	105	false
checkpoint/sglb-nmrc-grade-before-quantized-topk	a05cb727416529ca28bc40b747d80db19a6d4352	108	110	false
codex/asan-mrc-repro-20260720	ab80a4656166af6cd33a943ba71820a145e6807a	102	0	true
codex/avail-bounded-p2p-seed13	fb8fd5261451ca2f09b2e499610f5de6d7b028a0	108	104	false
codex/avail-grade-p2p-diagnosis	735fb6671783c86b2c5e694a8c623e69b8352cc0	108	6	false
codex/clean-build-compare-20260721	ab80a4656166af6cd33a943ba71820a145e6807a	102	0	true
codex/feedback-cadence-eval	2e7e58fca9d0b7476ff519dbd23461378e8a8e9f	108	81	false
codex/final-512-comparison	ad5f7acfccd0493df491d3a730ea1a235a996f21	102	5	false
codex/mrc-skip-policy-redesign	f56c95ffa73d430fe2e4946bf2d110007ccf1637	8	21	false
codex/nmrc-share-cap	3d694799e55fa22c68557bf14336e1ea2ee5927e	108	84	false
four-scheme-comparison-20260725	6a0d928a3a1792b1368fd6a6fa6336ed37480685	84	7	false
main-htsim	8186330ce0f0126613462d7756c943815cb32369	0	0	true
master	841d9e7be46bb968eece766aa4b6c044c7799f67	118	0	true
mrc_exact_bounded_recovery	6c5d9fd86dfc8cadd11f0578a0d5214f2beecbbe	108	124	false
optional/nmrc-trim-off	0958a19ff181ca14fbd53f7066fde2044ac64b04	103	0	true
remote-sync-15us	37a92fe6b9e8e905d768a4ce9af85f746d81fd6e	11	8	false
tune/sglb-nmrc-a2a	aa5e0d50564b5438adbc5e12b36cdb90d0a5a7f1	104	22	false
