asset_id,original_path,class,topology,schemes,seeds,sample_scale,runner,source_ref,manifest,summary,report,status,cleanup_action,bytes_before
four_scheme_parameter_matrix_20260726,experiments/n-mrc/output/four_scheme_parameter_matrix_20260726,historical,,,,,,historical-local,,experiments/n-mrc/output/four_scheme_parameter_matrix_20260726/summary.csv,,present,retain-historical-until-reviewed,10553456
grade_collective_scale_concurrency_20260726,experiments/n-mrc/output/grade_collective_scale_concurrency_20260726,historical,,,,,,historical-local,,experiments/n-mrc/output/grade_collective_scale_concurrency_20260726/summary.csv,,present,retain-historical-until-reviewed,30522447
mrc-new-result,experiments/n-mrc/output/mrc-new-result,current,,,,,,main-htsim,,,,present,compact-raw-retain-curated,322547
mrc_cold_qp_flow_size_evidence_256,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256,current,256/64/64,mrc|rr|sglb,13|29|47,1.0,experiments/n-mrc/run_mrc_sglb_steady_mixed_256.py,main-htsim,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256/manifest.json,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256/steady_summary.csv,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256/mrc_lifecycle_evidence_256.md,complete,compact-raw-retain-curated,72482385
mrc_cold_qp_flow_size_evidence_256_quick,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick,smoke-only,256/64/64,mrc|rr|sglb,13,0.05,experiments/n-mrc/run_mrc_sglb_steady_mixed_256.py,historical-local,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick/manifest.json,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick/steady_summary.csv,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick/mrc_steady_mixed_limitations_256.md,already-absent,recorded-smoke-only,0
mrc_cold_qp_flow_size_evidence_256_quick_v2,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick_v2,smoke-only,256/64/64,mrc|rr|sglb,13,0.05,experiments/n-mrc/run_mrc_sglb_steady_mixed_256.py,historical-local,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick_v2/manifest.json,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick_v2/steady_summary.csv,experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256_quick_v2/mrc_lifecycle_evidence_256.md,already-absent,recorded-smoke-only,0
mrc_cold_qp_lifecycle_evidence_256,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256,historical,256/64/64,mrc|rr|sglb,13,1.0,,historical-local,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256/manifest.json,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256/steady_summary.csv,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256/mrc_lifecycle_evidence_256.md,complete,retain-historical-until-reviewed,24257570
mrc_cold_qp_lifecycle_evidence_256_pilot,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256_pilot,smoke-only,256/64/64,mrc|rr|sglb,13,0.05,,historical-local,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256_pilot/manifest.json,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256_pilot/steady_summary.csv,experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256_pilot/mrc_lifecycle_evidence_256.md,complete,delete-directory,2383143
mrc_cooldown_recovery_multiscenario_512,experiments/n-mrc/output/mrc_cooldown_recovery_multiscenario_512,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,8776354
mrc_inherent_limitations_128,experiments/n-mrc/output/mrc_inherent_limitations_128,historical,128/8,,13|29|47,,,historical-local,experiments/n-mrc/output/mrc_inherent_limitations_128/manifest.json,experiments/n-mrc/output/mrc_inherent_limitations_128/summary.csv,,complete,retain-historical-until-reviewed,1849391274
mrc_one_cycle_no_rearm_a2a_seed13_20260725,experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed13_20260725,historical,128/8,,13,,,historical-local,experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed13_20260725/manifest.json,experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed13_20260725/results.csv,,present,retain-historical-until-reviewed,9374843
mrc_one_cycle_no_rearm_a2a_seed29_47_20260725,experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed29_47_20260725,historical,128/8,,29|47,,,historical-local,experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed29_47_20260725/manifest.json,experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed29_47_20260725/results.csv,,present,retain-historical-until-reviewed,18598874
mrc_pressure_transition_examples,experiments/n-mrc/output/mrc_pressure_transition_examples,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,2279260
