kind	path	bytes
output	experiments/n-mrc/output/four_scheme_parameter_matrix_20260726	10553456
output	experiments/n-mrc/output/grade_collective_scale_concurrency_20260726	30522447
output	experiments/n-mrc/output/mrc-new-result	322547
output	experiments/n-mrc/output/mrc_cold_qp_flow_size_evidence_256	72482385
output	experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256	24257570
output	experiments/n-mrc/output/mrc_cold_qp_lifecycle_evidence_256_pilot	2383143
output	experiments/n-mrc/output/mrc_cooldown_recovery_multiscenario_512	8776354
output	experiments/n-mrc/output/mrc_inherent_limitations_128	1849391274
output	experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed13_20260725	9374843
output	experiments/n-mrc/output/mrc_one_cycle_no_rearm_a2a_seed29_47_20260725	18598874
output	experiments/n-mrc/output/mrc_pressure_transition_examples	2279260
output	experiments/n-mrc/output/mrc_pressure_transition_examples_5ms	13833201
output	experiments/n-mrc/output/mrc_sglb_a2a_256_p16	187717767
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256	5741938
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256_64active	2166919
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick	900489
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_400g	860871
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_410g	542123
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256_quick_430g	540144
output	experiments/n-mrc/output/mrc_sglb_cold_qp_256_skip_token_quick	2159815
output	experiments/n-mrc/output/mrc_sglb_feedback_transition	16900456
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_isolated_pilot	1493311
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_300	589863
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_340	621120
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_380	619629
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_300	618452
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_340	639211
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v2_380	645062
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_360	631757
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_380	630884
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v3_390	631096
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_340	628486
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_360	639267
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v4_380	650969
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v5_380	623300
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_pilot_v5_390	627217
output	experiments/n-mrc/output/mrc_sglb_feedback_transition_primer_pilot	3888219
output	experiments/n-mrc/output/mrc_sglb_new_old_six_128_2seed	117989000
output	experiments/n-mrc/output/mrc_sglb_pressure_transition_examples_5ms	5514632
output	experiments/n-mrc/output/mrc_sglb_steady_mixed_256	37476303
output	experiments/n-mrc/output/mrc_sglb_steady_mixed_256_quick	890004
output	experiments/n-mrc/output/mrc_sglb_warmed_short_flow	8923989
output	experiments/n-mrc/output/mrc_shortflow_rootcause_20260725	9582944
output	experiments/n-mrc/output/mrc_shortflow_rootcause_20260725_cwnd1	9778851
output	experiments/n-mrc/output/mrc_vs_change_sglb_a2a_128_2seed	24092673
output	experiments/n-mrc/output/n-mrc-results	5545502495
output	experiments/n-mrc/output/netaware_topk4_vs_weighted_a2a256_p16_seed13_20260723	617640
output	experiments/n-mrc/output/netaware_topk4_websearch80_micro_seed13_20260723	514597210
output	experiments/n-mrc/output/nmrc4_heatmap_seed13_20260722	131892296
output	experiments/n-mrc/output/nmrc4_heatmap_three_seed_20260722	174258244
output	experiments/n-mrc/output/nmrc_communication_alltoall_128_seed13	1183341717
output	experiments/n-mrc/output/nmrc_communication_p2p_128	685875012
output	experiments/n-mrc/output/nmrc_communication_performance_preview_128_seed13	23103517
output	experiments/n-mrc/output/nmrc_graded_selective_cooldown_p4_seed13_20260725	3286827
output	experiments/n-mrc/output/nmrc_nmrc4_three_seed_comparison_20260722	934579
output	experiments/n-mrc/output/nmrc_routing_cooldown_seed13_20260726	133686547
output	experiments/n-mrc/output/no_websearch100	228675174
output	experiments/n-mrc/output/rr_stateless_mrc_healthy_seed13	8056
output	experiments/n-mrc/output/sglb_change_triggered_gcn_a2a_128_2seed	20008815
output	experiments/n-mrc/output/sglb_change_triggered_six_128_2seed	15581631
output	experiments/n-mrc/output/sglb_exact_min24_rr_vs_random_seed13	45581644
output	experiments/n-mrc/output/sglb_exact_min24_vs_old_representative_seed13	62575589
output	experiments/n-mrc/output/sglb_exact_min_choices_a2a_seed29	37725865
output	experiments/n-mrc/output/sglb_min_choices_a2a_seed29	56587164
output	experiments/n-mrc/output/sglb_new_old_cadence_a2a_seed29	56595026
worktree	/home/user/.cache/codex/csg-htsim-sglb-baseline-replay-20260715	64852842
worktree	/home/user/.config/superpowers/worktrees/csg-htsim/avail-grade-p2p-diagnosis	85669122
worktree	/home/user/.config/superpowers/worktrees/csg-htsim/feedback-cadence-eval	4474363030
worktree	/home/user/.config/superpowers/worktrees/csg-htsim/final-512-comparison	671893846
worktree	/home/user/.config/superpowers/worktrees/csg-htsim/mrc_exact_bounded_recovery	901789763
