time_us,selected_total,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,cumulative_cv
3.9936,100000,12513,12501,12474,12504,12500,12510,12487,12511,0.0010008
23.8635,200000,25003,25012,24974,24984,25004,24989,24997,25037,0.00072111
90.0466,300000,37508,37488,37551,37456,37489,37508,37488,37512,0.000681045
154.814,400000,50011,50009,50048,49969,50004,49996,49979,49984,0.000458039
220.875,500000,62530,62554,62497,62428,62478,62499,62504,62510,0.000554545
285.658,600000,75010,75019,74981,74994,74994,75033,74983,74986,0.000234189
351.488,700000,87528,87495,87559,87462,87494,87536,87393,87533,0.000565743
416.436,800000,99970,99972,100057,100011,99973,100069,99945,100003,0.000411977
482.171,900000,112486,112500,112577,112433,112408,112589,112487,112520,0.000521801
547.122,1000000,125009,124977,125086,124966,124913,125034,124965,125050,0.000415808
702.216,1100000,137575,137394,137657,137487,137477,137592,137293,137525,0.000788957
706.573,1200000,150010,149681,150191,149975,150373,150254,149407,150109,0.00198066
755.317,1300000,162380,162119,162476,162595,163024,162733,161978,162695,0.00195637
824.78,1400000,175724,175219,174716,175735,174210,174340,174548,175508,0.00332896
897.557,1500000,189119,188998,188803,187413,184794,185237,186675,188961,0.00880995
982.324,1600000,200307,200290,201107,199791,200821,197481,198196,202007,0.00701546
1088.17,1700000,211776,212776,213249,212982,212688,212622,209988,213919,0.00519984
1187.68,1800000,225004,224849,225802,224808,225671,224833,222263,226770,0.00539892
1270.13,1900000,237050,236652,238634,238030,238167,237811,234824,238832,0.00514935
1353.5,2000000,249442,249233,251121,250616,250749,250144,247413,251282,0.00478614
1433.95,2100000,261848,261557,263637,262855,263176,262978,259981,263968,0.00464992
1513.34,2200000,274624,274139,276057,275100,276133,274766,272670,276511,0.00427571
1591.76,2300000,287098,286668,289154,287335,288167,287975,284652,288951,0.00468336
1670.41,2400000,299542,298681,301402,300176,301424,300520,296646,301609,0.00528132
1744.25,2500000,312025,311913,314041,312679,313256,312950,309263,313873,0.00454161
1816.45,2600000,324196,325135,326673,324730,325522,324764,322544,326436,0.00376195
1889.78,2700000,337091,337091,339344,337252,338058,337291,335025,338848,0.00364309
1967.29,2800000,349515,350101,351412,349688,350808,350171,346901,351404,0.00385895
2046.27,2900000,362554,362411,363895,362329,363320,362373,359362,363756,0.00366222
2123.59,3000000,374302,375078,376512,375197,375973,375052,371896,375990,0.00357555
2200.56,3100000,387116,387650,388167,387423,388994,387195,385348,388107,0.00257182
2281.87,3200000,399330,399776,401477,400201,401233,399994,397201,400788,0.00314949
2360.45,3300000,412033,412419,413552,412794,413762,412747,409980,412713,0.00263719
2437.91,3400000,424713,424964,426986,425218,425700,424822,421849,425748,0.00323105
2516.55,3500000,437094,437651,438625,437682,438504,437881,434788,437775,0.00256445
2593.88,3600000,450039,449909,451749,449882,450994,449957,447030,450440,0.00284226
2672.94,3700000,462039,462503,463913,462682,463433,462080,460308,463042,0.00221394
2750.5,3800000,475069,474900,476628,474944,476408,474532,472095,475424,0.00273366
2829.96,3900000,486817,487028,488673,488007,488552,487131,485289,488503,0.00223058
2905.71,4000000,500122,499586,501054,500426,501290,499816,496853,500853,0.00262753
2981.92,4100000,511943,512388,513877,513120,513114,512428,509840,513290,0.00225503
3055.95,4200000,524599,524198,526337,525590,525728,525202,522956,525390,0.00188568
3129.62,4300000,536782,536730,538593,538044,538207,538281,535183,538180,0.00203163
3205.19,4400000,549840,549263,550823,551074,550176,551189,547491,550144,0.002049
3278.3,4500000,561753,561417,563409,563447,562729,563193,560472,563580,0.00191327
3354,4600000,574900,573560,575255,575446,575861,575905,572838,576235,0.00195482
3430.56,4700000,587279,586495,588341,587626,588362,588154,585466,588277,0.00166922
3508.9,4800000,600118,599064,600745,600310,600013,601622,597506,600622,0.00193462
3584.02,4900000,612239,611665,613053,613166,612817,613591,610089,613380,0.00176908
3662.6,5000000,624549,624448,625941,625684,625283,626393,622418,625284,0.00184429
3741.28,5100000,637225,637032,638312,638380,637861,638846,634463,637881,0.00200261
3820.39,5200000,649711,649792,650835,649980,650544,651827,646850,650461,0.00207787
3901.71,5300000,661751,661755,663388,663487,662720,664268,659769,662862,0.00197112
3978.78,5400000,674969,674537,675907,675162,675564,676567,671444,675850,0.00217262
4056.66,5500000,687071,686847,688809,688196,687731,689417,683957,687972,0.00225995
4134.3,5600000,700345,699102,700591,700612,700309,701729,696970,700342,0.00189198
4212.32,5700000,712838,711518,713526,712934,712648,714487,708768,713281,0.00226458
4286.17,5800000,725748,723572,725291,725389,725881,726687,722102,725330,0.00188644
4361.56,5900000,737731,736310,738350,737909,737699,739209,734727,738065,0.00175017
4437.66,6000000,750303,748699,750908,750590,750492,751367,746997,750644,0.00179508
4514.17,6100000,762793,761154,762611,763623,763102,764119,759560,763038,0.00180105
4588.73,6200000,775725,773457,775328,775719,775875,776403,771467,776026,0.00202994
4663.68,6300000,788233,786725,788437,787676,788343,788453,784148,787985,0.00174672
4739.4,6400000,800755,798478,800397,800385,800408,801847,796705,801025,0.00190998
4816.73,6500000,813561,811116,813370,812952,812702,813958,809228,813113,0.00180732
4895.39,6600000,825445,823478,825371,825857,825281,826850,821769,825949,0.00182966
4971.89,6700000,838381,835554,837975,838593,837928,839401,833168,839000,0.00234272
5049.64,6800000,850551,848480,850628,850241,850416,851873,846490,851321,0.00189759
5127.94,6900000,863559,860416,862991,863467,863097,864200,858297,863973,0.00223478
5202.72,7000000,876325,873050,875286,876045,875222,876821,871378,875873,0.00197859
5279.59,7100000,888928,885704,888002,888793,888008,888609,883427,888529,0.00204394
5356.47,7200000,901492,898042,900290,901605,900234,901410,895948,900979,0.00208389
5432.22,7300000,914187,910820,912274,914106,912921,913658,908640,913394,0.00195716
5511.57,7400000,926473,923114,924910,926923,925863,925852,920917,925948,0.00203953
5584.9,7500000,939211,935240,937089,939244,938214,938559,933899,938544,0.00195719
5663,7600000,951311,948124,949371,952219,950725,950735,946003,951512,0.00203453
5743.15,7700000,963759,960322,961841,964640,963031,963964,958746,963697,0.0019881
5822.9,7800000,976342,972777,973951,977061,975816,976186,971452,976415,0.00194446
5902.58,7900000,988742,985128,986299,989810,988272,988760,983927,989062,0.00200423
5983.96,8000000,1001498,997673,998878,1001940,1000911,1001050,996620,1001430,0.0018736
6064.33,8100000,1013665,1009992,1011574,1014676,1013594,1013683,1008928,1013888,0.00192915
6147.31,8200000,1026122,1022648,1024069,1027339,1025877,1026345,1021325,1026275,0.00191546
6227.98,8300000,1038718,1035112,1036548,1040164,1038544,1038556,1033635,1038723,0.00198202
6312.29,8400000,1051262,1047660,1048770,1052506,1050962,1051219,1046066,1051555,0.00199679
6399.65,8500000,1063677,1060115,1061255,1065152,1063544,1063487,1058666,1064104,0.00196842
6490.47,8600000,1076060,1072451,1073716,1077762,1076242,1076136,1070896,1076737,0.00206941
