time_us,selected_total,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,cumulative_cv
3.9936,100000,12516,12536,12445,12468,12439,12536,12521,12539,0.00317238
23.9608,200000,25013,25003,24993,25014,25020,24973,25000,24984,0.000601332
90.307,300000,37669,37572,37537,37472,37387,37435,37503,37425,0.00228086
155.636,400000,50313,50239,50206,49900,49846,49780,49910,49806,0.00403347
221.545,500000,63109,62640,62863,62340,62329,62194,62279,62246,0.00500906
287.5,600000,76014,74937,75507,75095,74809,74522,74716,74400,0.0066731
353.824,700000,88109,87642,87924,87439,87547,87205,87298,86836,0.00432454
421.812,800000,99848,100218,99567,99385,100800,100215,100075,99892,0.00409246
491.535,900000,112365,112516,111426,111672,112719,113512,112687,113103,0.00573335
568.565,1000000,124180,124403,124345,125829,124171,126216,125301,125555,0.00613814
701.577,1100000,135332,136953,137466,138481,139256,138101,137936,136475,0.00839063
751.129,1200000,150206,148207,147112,154474,149356,150689,150031,149925,0.0134393
826.952,1300000,163069,160091,160754,164847,161400,162663,163381,163795,0.0093261
936.588,1400000,175297,172318,173213,177760,175158,174803,175660,175791,0.00885653
1019.81,1500000,187849,184442,185664,190054,187481,188036,187932,188542,0.00862596
1103.04,1600000,199865,196610,197865,202982,199888,200888,200081,201821,0.00953359
1187.53,1700000,212546,208914,211113,215520,212408,213378,211865,214256,0.00883087
1273.75,1800000,224718,221415,223319,227407,226319,226392,224734,225696,0.00797895
1361.11,1900000,237224,234058,236078,240642,238551,237891,237181,238375,0.00758226
1449.75,2000000,249194,246827,248538,252558,250786,250485,249680,251932,0.00694067
1534.94,2100000,262145,259271,261511,264704,263106,263317,261805,264141,0.0061129
1623.82,2200000,274683,271798,274183,277573,275245,275712,274164,276642,0.00597559
1706.24,2300000,287731,284645,286810,290196,287718,287832,286091,288977,0.00553708
1792.74,2400000,300020,297397,299449,301733,299705,300685,298726,302285,0.00492773
1876.35,2500000,312505,310270,312541,314149,312135,312997,310850,314553,0.00438344
1961.38,2600000,324643,324067,324308,326352,324608,324845,323413,327764,0.00401781
2041.89,2700000,337172,337196,337300,338356,336700,337967,335237,340072,0.00385857
2124.11,2800000,349639,349140,349679,351498,348494,350515,348375,352660,0.00397267
2206.7,2900000,361893,361690,362720,365008,360499,362865,361007,364318,0.00402541
2293.04,3000000,374008,374661,375279,377854,372804,375291,373451,376652,0.00414812
2377.66,3100000,387030,387194,388002,389887,384626,388251,385697,389313,0.00424298
2464.38,3200000,400036,398975,400072,402262,397557,401291,398396,401411,0.00378859
2546.95,3300000,412606,411591,412377,415262,409729,413274,411249,413912,0.00386337
2631.73,3400000,425420,423148,424550,428718,421611,426083,423657,426813,0.00494826
2718.1,3500000,437963,436927,436607,441271,434176,438265,436027,438764,0.00449669
2803.84,3600000,450367,449540,449404,453128,446217,451346,448103,451895,0.00456762
2889.24,3700000,464128,461315,461709,466278,458608,463258,459942,464762,0.00520357
2972.25,3800000,476777,472932,473234,479148,471727,476112,473100,476970,0.00511361
3060.35,3900000,488683,485890,486261,491710,483827,488702,485708,489219,0.00482993
3142.82,4000000,501782,498854,498749,503163,496214,501347,497611,502280,0.00464286
3227.3,4100000,514276,510670,510982,515501,509068,514345,510790,514368,0.00433074
3308.58,4200000,526892,523107,524144,528388,521520,526511,522861,526577,0.00430315
3391.08,4300000,539182,535271,536365,541191,533386,539138,536453,539014,0.00444695
3475.32,4400000,551233,548059,548911,554335,546216,551778,548327,551141,0.00439979
3559.96,4500000,564298,560350,561548,566658,558702,564408,561183,562853,0.0042618
3645.08,4600000,577075,573509,574171,579133,570475,577170,573490,574977,0.00442381
3728.59,4700000,590004,586531,585711,591250,583276,589909,585818,587501,0.00429541
3814.26,4800000,602485,599294,599006,603170,596249,601527,598482,599787,0.00355815
3896.67,4900000,615327,611059,611816,616248,608134,614398,611054,611964,0.00406635
3981.54,5000000,628265,624162,623699,628000,621091,626795,623429,624559,0.00371892
4063.89,5100000,641164,636469,636824,639995,634245,638981,635659,636663,0.00342091
4149.92,5200000,653503,648392,649674,652882,646730,651760,648302,648757,0.00350349
4232.97,5300000,666218,661215,661607,665358,658852,663651,661325,661774,0.00341632
4318.16,5400000,678920,673645,674384,677733,671415,676539,673958,673406,0.00347037
4404.55,5500000,692062,686794,686751,690039,683780,687882,686811,685881,0.00346498
4489.07,5600000,704234,699049,699405,702920,696184,700972,699513,697723,0.00352253
4571.99,5700000,717508,711646,712349,715960,708868,713197,710162,710310,0.00389911
4655.63,5800000,729006,724407,724552,729494,721233,725477,722440,723391,0.00378861
4740.11,5900000,742419,736719,737087,741582,733606,737954,735281,735352,0.00391073
4824.82,6000000,755169,749911,749309,754279,746492,751533,746437,746870,0.00428594
4909.6,6100000,767647,762088,762184,766684,758996,763832,759169,759400,0.0041219
4994.54,6200000,780458,774736,774826,778426,772183,776515,771231,771625,0.0040149
5078.04,6300000,793215,787072,787901,790788,784502,789348,783515,783659,0.00418404
5162.91,6400000,805776,799966,799993,803371,797819,801670,795828,795577,0.00417492
5246.41,6500000,817740,812047,812998,816198,809671,814721,808114,808511,0.00412058
5330.48,6600000,830306,824499,826080,828142,822673,826694,820046,821560,0.00393014
5416.27,6700000,843931,836702,838281,841383,834630,839449,832544,833080,0.00450373
5502.11,6800000,856106,849095,850624,854563,847349,851535,845344,845384,0.0043957
5585.21,6900000,868448,861259,863009,867005,859510,864694,857863,858212,0.00432099
5670.68,7000000,880827,874320,875110,879533,872579,876848,870670,870113,0.00417738
5755.52,7100000,892976,887419,887540,891950,884560,889971,882790,882794,0.00415676
5843.06,7200000,905951,900369,899672,904970,896829,902284,894921,895004,0.00441636
5930.35,7300000,918077,913444,912082,917786,908621,914082,907897,908011,0.00422662
6017.59,7400000,930744,925656,923503,930420,921791,926622,920652,920612,0.00411893
6103.13,7500000,943297,939005,936355,942303,933858,939195,932762,933225,0.00408116
6189.42,7600000,955984,951375,948114,954864,946844,951797,945397,945625,0.0040501
6273.94,7700000,968264,964241,960938,967183,959038,964212,957591,958533,0.00394561
6358.42,7800000,981210,976110,973030,979415,971847,976962,970027,971399,0.00388287
6448.59,7900000,993245,988317,985789,992220,984185,989883,983199,983162,0.00380359
6532.78,8000000,1006659,1001034,997706,1003408,996791,1002988,994960,996454,0.00386474
6619,8100000,1018402,1012976,1010331,1016597,1009753,1015664,1007331,1008946,0.00371942
6703.91,8200000,1030941,1025006,1023483,1029061,1022713,1028198,1020094,1020504,0.00368008
6790.53,8300000,1042954,1038322,1036435,1041919,1034196,1040886,1032844,1032444,0.00374397
6873.96,8400000,1056499,1050965,1048387,1054270,1047296,1052734,1045284,1044565,0.00384757
6962.56,8500000,1068794,1063467,1061047,1066094,1060502,1064992,1057799,1057305,0.00356635
7053.95,8600000,1081019,1076181,1073498,1078968,1072635,1077942,1069924,1069833,0.00363768
7149.03,8700000,1094725,1089716,1086017,1091289,1084902,1090236,1081302,1081813,0.00409505
7280.52,8800000,1107494,1102548,1098844,1104003,1096932,1102791,1093502,1093886,0.00427394
7570.74,8854245,1114415,1109719,1105534,1110399,1103665,1109593,1100292,1100628,0.0042755
