time_us,selected_total,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,cumulative_cv
3.9936,100000,12482,12492,12486,12507,12509,12506,12505,12513,0.000869022
23.8117,200000,24971,24991,24991,25024,25008,25007,25012,24996,0.000608605
89.923,300000,37485,37471,37499,37511,37526,37520,37497,37491,0.000457432
154.644,400000,49990,49992,50016,50006,50030,50008,49989,49969,0.000353695
220.694,500000,62499,62476,62506,62502,62540,62524,62486,62467,0.000361242
285.341,600000,74983,74993,75005,75007,75024,75030,75000,74958,0.000284878
351.234,700000,87491,87486,87502,87486,87535,87522,87503,87475,0.000214571
416.022,800000,100012,99979,99985,100002,100027,100015,100009,99971,0.000183371
481.836,900000,112518,112473,112502,112496,112504,112511,112500,112496,0.000110039
546.703,1000000,125014,124979,124996,124988,125014,125016,125001,124992,0.000102528
701.963,1100000,137501,137505,137530,137515,137526,137454,137475,137494,0.00017447
706.153,1200000,149987,149992,150038,150003,150006,149994,149986,149994,0.000105145
753.65,1300000,162489,162479,162539,162514,162482,162492,162499,162506,0.000113137
819.628,1400000,174975,174984,175026,175000,175012,174992,175004,175007,8.64256e-05
884.532,1500000,187460,187498,187528,187527,187494,187491,187480,187522,0.000121003
950.07,1600000,199964,199992,200052,200021,199994,199981,199994,200002,0.000124273
1015.55,1700000,212499,212485,212524,212504,212514,212481,212478,212515,7.5953e-05
1080.62,1800000,224963,224991,225042,225023,225000,224981,224981,225019,0.000109161
1146.53,1900000,237496,237492,237541,237488,237500,237478,237498,237507,7.35638e-05
1213.44,2000000,249979,249983,250029,250027,249989,249982,249998,250013,7.63937e-05
1302.04,2100000,262493,262499,262505,262498,262498,262495,262495,262517,2.76683e-05
1395.79,2200000,274991,275005,275009,275042,274976,275012,274964,275001,8.09857e-05
1425.43,2300000,287684,287518,287455,287498,287484,287428,287433,287500,0.000264148
1496.73,2400000,300856,300003,299868,299927,299942,299693,299818,299893,0.00111659
1580.45,2500000,314969,312581,312257,312178,312133,311871,311981,312030,0.00305383
1687.74,2600000,329037,325190,324576,324458,324416,324048,324061,324214,0.00481048
1786.23,2700000,342334,337892,337056,336843,336798,336155,336413,336509,0.00560379
1864.65,2800000,354922,350317,349569,349355,349143,348646,348957,349091,0.00547818
1949.24,2900000,367456,362811,362078,361843,361620,361057,361663,361472,0.00533156
2033.99,3000000,379907,375323,374554,374294,374219,373592,374150,373961,0.00510118
2120.51,3100000,392522,387871,387114,386656,386742,386036,386612,386447,0.00506644
2201.83,3200000,405118,400414,399670,399027,399313,398600,399064,398794,0.00501431
2280.79,3300000,417659,412961,412208,411541,411807,411022,411440,411362,0.0049174
2358.56,3400000,430243,425437,424601,424027,424206,423592,423978,423916,0.00482341
2435.85,3500000,442824,437893,437092,436503,436597,436085,436593,436413,0.00474539
2512.81,3600000,455321,450446,449599,449070,448965,448725,449100,448774,0.00461797
2588.62,3700000,467942,463056,462061,461519,461457,461200,461539,461226,0.0046123
2664.85,3800000,480489,475737,474622,473911,473951,473589,473985,473716,0.00457449
2739.38,3900000,492955,488270,487123,486498,486441,486027,486633,486053,0.00444901
2813.93,4000000,505620,500787,499626,498903,498795,498555,499197,498517,0.00446829
2888.58,4100000,518275,513300,512193,511399,511251,510977,511507,511098,0.00447763
2961.48,4200000,530940,525911,524649,523804,523714,523354,524035,523593,0.00451458
3036.53,4300000,543565,538405,537148,536295,536228,535769,536588,536002,0.00450319
3112.12,4400000,556382,550872,549680,548663,548688,548214,549081,548420,0.00461906
3185.99,4500000,568864,563429,562140,561198,561249,560610,561663,560847,0.00452192
3260.27,4600000,581551,576037,574691,573714,573754,572984,573945,573324,0.00457159
3335.67,4700000,594144,588620,587121,586308,586244,585426,586327,585810,0.00454633
3412.06,4800000,606685,601120,599659,598749,598772,598007,598781,598227,0.00447735
3489.06,4900000,619230,613678,612050,611325,611288,610561,611270,610598,0.0044196
3565.78,5000000,631753,626217,624525,623849,623821,622974,623666,623195,0.00435125
3641.67,5100000,644528,638694,637015,636368,636195,635361,636228,635611,0.0044298
3719.63,5200000,657108,651187,649604,648908,648616,647749,648777,648051,0.0044041
3797.35,5300000,669794,663701,662054,661466,661256,660071,661088,660570,0.0044355
3874.45,5400000,682313,676220,674530,674008,673873,672525,673506,673025,0.00437294
3952.18,5500000,694837,688720,687208,686499,686332,684966,685988,685450,0.00432349
4029.38,5600000,707483,701363,699627,698992,698676,697482,698515,697862,0.00434124
4104.77,5700000,720057,713903,712174,711506,711194,709902,710930,710334,0.00431971
4178.95,5800000,732536,726437,724671,723934,723678,722358,723513,722873,0.00423911
4254.87,5900000,745189,738948,737257,736325,736149,734982,735852,735298,0.0042444
4330.77,6000000,757859,751473,749722,748739,748595,747448,748466,747698,0.00426198
4408.07,6100000,770466,763991,762304,761164,761069,759942,760896,760168,0.00425234
4485.05,6200000,783015,776570,774807,773579,773708,772488,773202,772631,0.00422041
4560.44,6300000,795659,789098,787247,786183,786297,784776,785653,785087,0.00423599
4638.64,6400000,808354,801559,799700,798720,798708,797178,798124,797657,0.00425253
4715.31,6500000,821020,813979,812136,811344,811181,809620,810603,810117,0.00425369
4792.87,6600000,833755,826471,824668,823679,823699,822163,822914,822651,0.00429148
4871.08,6700000,846370,839121,837173,836043,836124,834618,835362,835189,0.00429779
4949.54,6800000,858952,851658,849662,848652,848597,847132,847836,847511,0.0042802
5029.75,6900000,871504,864251,862229,861076,861044,859604,860244,860048,0.00425698
5109.97,7000000,883851,876798,874740,873654,873605,872002,872849,872501,0.00414548
5190.79,7100000,896288,889325,887201,886264,886079,884387,885375,885081,0.00406755
5270.93,7200000,909018,901677,899778,898762,898641,896876,897762,897486,0.00409482
5350.71,7300000,921636,914259,912254,911137,911015,909378,910337,909984,0.00409018
5431.89,7400000,934142,926874,924681,923670,923421,921997,922749,922466,0.00404428
5511.25,7500000,946826,939380,937130,936199,935849,934511,935147,934958,0.00406168
5590.72,7600000,959434,951974,949646,948729,948261,946945,947638,947373,0.0040679
5670.83,7700000,972066,964495,962161,961225,960771,959411,960041,959830,0.0040728
5752.96,7800000,984566,977012,974764,973705,973194,971916,972501,972342,0.00402771
5836.87,7900000,997224,989482,987307,986223,985647,984486,984839,984792,0.00403612
5922.41,8000000,1009772,1002053,999749,998725,998148,996843,997313,997397,0.00401229
6012.15,8100000,1022272,1014605,1012130,1011242,1010525,1009289,1009877,1010060,0.00396121
6101.25,8200000,1034780,1027134,1024620,1023728,1023082,1021836,1022286,1022534,0.00391919
6190.6,8300000,1047332,1039659,1037200,1036224,1035521,1034417,1034620,1035027,0.00389854
6282.93,8400000,1059963,1052080,1049771,1048743,1048050,1046842,1047106,1047445,0.00389632
6378.95,8500000,1072554,1064530,1062287,1061276,1060502,1059325,1059576,1059950,0.00387875
6489.23,8600000,1085008,1077145,1074750,1073843,1072948,1071807,1072083,1072416,0.00383198
6648.61,8700000,1097498,1089684,1087286,1086336,1085415,1084335,1084595,1084851,0.00379068
7026.86,8750832,1103853,1096051,1093626,1092700,1091775,1090683,1090947,1091197,0.00377042
