time_us,selected_total,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,cumulative_cv
3.9936,100000,12483,12560,12558,12452,12539,12514,12455,12439,0.00368999
23.9832,200000,25033,25011,24998,25031,24977,24991,24974,24985,0.000858604
90.4197,300000,38315,37773,37426,37205,37277,37312,37364,37328,0.00925879
155.898,400000,50807,50785,50103,49637,49781,49802,49587,49498,0.00979691
223.823,500000,60044,62725,63808,62962,62806,63026,62567,62062,0.0165636
292.088,600000,70941,73020,76982,75897,76363,75850,75907,75040,0.0251808
372.373,700000,84809,84707,88140,87941,89423,87890,88724,88366,0.0188418
461.179,800000,96320,96651,100357,100856,102250,100866,101788,100912,0.0210534
554.822,900000,109350,107704,112327,114003,115484,113349,114356,113427,0.0220308
643.424,1000000,122236,119919,125028,126489,127412,125987,126926,126003,0.0194281
713.214,1100000,133893,132827,136424,139150,140295,139193,139582,138636,0.0190747
774.488,1200000,146455,145460,149696,151854,152745,151134,151815,150841,0.0165883
845.831,1300000,159478,157656,162375,164194,164787,163570,164546,163394,0.014891
919.212,1400000,171925,170715,174706,176860,177342,176237,176896,175319,0.0131047
989.521,1500000,184643,182727,187106,189348,189805,188611,189691,188069,0.0128147
1056.87,1600000,196985,195414,199505,201629,202347,201282,202430,200408,0.0120213
1123.09,1700000,209338,207886,212206,214254,215017,213593,214972,212734,0.0115445
1191.03,1800000,222033,220475,224646,226769,227287,226134,227398,225258,0.0105253
1259.5,1900000,234358,232803,237310,239289,239840,238885,239960,237555,0.0103799
1326.46,2000000,246989,245573,249750,251949,252345,251485,252205,249704,0.00950573
1393.3,2100000,259440,258339,262199,264274,265041,263689,264661,262357,0.00877804
1461.58,2200000,271933,270760,274745,276634,277300,276346,277418,274864,0.00843899
1529.98,2300000,284606,283413,287454,289309,289849,288452,289939,286978,0.00787412
1598.16,2400000,297551,295913,299862,301537,302659,300800,302338,299340,0.00733094
1663.78,2500000,309967,308680,312414,314089,315223,313444,314618,311565,0.00690107
1731.18,2600000,322720,320962,325030,326618,327720,325890,327180,323880,0.00673417
1801.3,2700000,335272,333855,337888,339167,340088,338193,339455,336082,0.00612536
1867.28,2800000,347891,346619,350590,351832,352534,350392,351792,348350,0.00572249
1937.03,2900000,360708,359158,363278,364424,365004,362730,364040,360658,0.00541059
2003.47,3000000,373302,372011,375933,376896,377366,375254,376397,372841,0.00503834
2070.91,3100000,385769,384475,388697,389426,390100,387610,388606,385317,0.00500157
2138.67,3200000,398529,396864,400983,402068,402582,400149,401164,397661,0.00490185
2204.62,3300000,411421,409424,413546,414691,414963,412628,413510,409817,0.0047584
2271.1,3400000,424193,421744,426049,427356,427341,425245,425976,422096,0.00476652
2339.9,3500000,436827,434454,438772,439758,439867,437527,438504,434291,0.00466733
2407.37,3600000,449632,447207,451319,452152,452325,450025,451042,446298,0.00461506
2476.78,3700000,462188,459976,463906,464867,464942,462141,463355,458625,0.00457939
2542.62,3800000,475039,472698,476414,477398,477332,474416,475769,470934,0.00446305
2612.46,3900000,487831,485381,488711,490150,489894,486798,488044,483191,0.00448102
2682.36,4000000,500556,497842,501371,502681,502212,499295,500672,495371,0.00454438
2751.6,4100000,513479,510731,514000,515200,514749,511515,512712,507614,0.00455381
2818.05,4200000,526366,523465,526622,527780,527129,523866,525001,519771,0.00465316
2887.37,4300000,539247,536386,539432,540199,539678,536068,537142,531848,0.00484158
2958.47,4400000,551966,549165,551891,552768,552160,548231,549626,544193,0.0048726
3029.08,4500000,564717,561858,564540,565316,564379,560670,561959,556561,0.00486307
3098.99,4600000,577428,574534,576978,577818,576742,573137,574478,568885,0.00484688
3168.63,4700000,590388,587407,589588,590105,589357,585428,586760,580967,0.00505163
3238.7,4800000,603214,600175,602230,602629,602013,597740,598865,593134,0.00526502
3306.77,4900000,615795,612923,614970,615103,614251,610303,611268,605387,0.00528781
3376.58,5000000,628580,625734,627567,627669,626649,622635,623587,617579,0.00543907
3446.18,5100000,641293,638591,640185,640121,639037,635059,635989,629725,0.00556561
3517.69,5200000,653990,651419,652943,652545,651468,647321,648344,641970,0.00569509
3589.82,5300000,666958,664202,665560,665078,663807,659664,660471,654260,0.00585929
3663.09,5400000,679701,676898,678052,677602,676214,671999,672961,666573,0.00591292
3736.59,5500000,692500,689825,690709,690084,688720,684204,685187,678771,0.00611251
3810.22,5600000,705430,702538,703266,702447,701101,696595,697482,691141,0.00619021
3885.2,5700000,718180,715380,715953,714899,713485,709071,709788,703244,0.0063545
3959.84,5800000,730926,728082,728510,727310,726188,721369,722088,715527,0.00645271
4036.43,5900000,743581,740937,740999,739761,738567,733836,734552,727767,0.00650516
4112.74,6000000,756413,753493,753620,752165,751209,746185,746849,740066,0.00659542
4190.2,6100000,769069,766227,766092,764677,763657,758623,759233,752422,0.00661114
4265.68,6200000,781786,779073,778719,777085,776127,770944,771598,764668,0.00671808
4342.9,6300000,794408,791747,791385,789459,788601,783382,783973,777045,0.00672844
4417.67,6400000,807178,804425,803783,801935,801010,795981,796371,789317,0.00675504
4493.63,6500000,819815,817339,816488,814530,813402,808309,808589,801528,0.00689408
4570.78,6600000,832431,829989,829212,827009,825994,820559,821009,813797,0.00696354
4650.03,6700000,845260,842629,841911,839418,838425,832973,833338,826046,0.00705799
4727.99,6800000,857958,855138,854578,851863,851082,845435,845531,838415,0.00708759
4806.61,6900000,870747,867840,867200,864331,863431,857710,857986,850755,0.00714836
4886.6,7000000,883464,880562,879760,876812,875897,870127,870269,863109,0.00719234
4967.77,7100000,896256,893171,892347,889159,888291,882576,882630,875570,0.00719261
5045.49,7200000,909093,905827,904773,901666,900721,894963,895056,887901,0.00723198
5124.51,7300000,921664,918611,917335,914150,913267,907415,907404,900154,0.00727201
5205.09,7400000,934437,931294,929939,926791,925615,919873,919647,912404,0.00735464
5284.09,7500000,947024,943956,942444,939379,938063,932346,932091,924697,0.00735551
5364.83,7600000,959666,956547,955044,952043,950592,944636,944498,936974,0.0073964
5449.25,7700000,972297,969146,967616,964463,963197,956973,957001,949307,0.00739695
5534.72,7800000,984974,981745,980170,976928,975624,969501,969375,961683,0.0073874
5619.03,7900000,997694,994283,992654,989410,988087,981944,981878,974050,0.00737106
5704.46,8000000,1010208,1006880,1005238,1001947,1000696,994276,994336,986419,0.00735304
5792.05,8100000,1022813,1019488,1017726,1014366,1013109,1006839,1006805,998854,0.00730002
5880.93,8200000,1035513,1032105,1030189,1026909,1025589,1019256,1019179,1011260,0.00729742
5973.21,8300000,1048022,1044637,1042827,1039376,1038087,1031644,1031706,1023701,0.00724629
6066.51,8400000,1060635,1057154,1055352,1051855,1050567,1044105,1044122,1036210,0.00719154
6165.13,8500000,1073200,1069731,1067890,1064317,1062975,1056581,1056596,1048710,0.00713226
6262.97,8600000,1085653,1082240,1080392,1076889,1075531,1069066,1069104,1061125,0.00706394
6360.85,8700000,1098267,1094865,1092866,1089444,1087951,1081514,1081554,1073539,0.00704098
6461.61,8800000,1111171,1107654,1105429,1101932,1100308,1093940,1093802,1085764,0.00714721
