scenario,kind,scheme,variant,cc_mode,trim_mode,primary_metric,primary_us,avg_fct_or_finish_us,p50_fct_or_finish_us,p95_fct_or_finish_us,p99_fct_or_finish_us,p999_fct_or_finish_us,max_fct_or_cct_us,completed,flows,returncode,config_ok,all_flows_completed,runtime_s,stdout,command,acks,nacks,nacks_ooo,nacks_trim,nacks_loss,rtos,ecn_echo_acks,feedback_acks,stor_selected_good,stor_selected_degraded,stor_selected_bad,stor_selected_avoid,duplicate_acks,duplicate_inflate_suppressed,lossless_overflows,lossless_ecn_marks,lossy_drops,lossy_ecn_marks,composite_trims,composite_drops,composite_ecn_marks,samples,sample_zero_bits,feedbacks,packet_feedbacks,time_feedbacks,feedback_packets_sum,feedback_zero_bits,all_good_feedbacks,new_packets,retx_packets,retx_ratio,inflight_final,unique_acks,recovery_inflight_final_bytes,recovery_inflight_max_bytes,stale_attempt_nacks,duplicate_failure_nacks,duplicate_confirmations_suppressed,acked_revival_rejected,attempt_wraps,exact_trim_recoveries,sack_loss_recoveries,route_checks,reroutes,threshold_blocked,fastcnp_generated,fastcnp_arrived,fastcnp_after_done,fastcnp_bytes,fastcnp_arrived_bytes,fastcnp_latency_avg_us,fastcnp_route_missing,fastcnp_unknown_qp,fastcnp_unknown_ev,cooldown_starts,cooling_skips,cooling_recoveries,duplicate_notifications,all_cooling_fallbacks,observed_evs,observed_first_hop_choices,observed_first_hop_alias_ratio,route_calls,avg_available_choices,avg_candidate_choices,avg_best_quality_choices,avg_distinct_qualities,all_same_quality_calls,all_zero_quality_calls,selected_nonbest_quality,avg_score_spread,spine_queue_cv,spine_queue_avg,spine_queue_count,spine_queue_peak_bytes,spine_queue_p95_fraction,spine_queue_p99_fraction,random_sends,cached_sends,cache_hit_ratio,clean_ack_cached,ecn_ack_discarded,buffer_occupancy_samples,seed,traffic_sha256,unique_completed,expected_source_ids,completion_ids_ok,level_transitions,stor_min_score,stor_avoid_entries,stor_avoid_exits,stor_clean_signals,stor_ecn_signals,stor_trim_signals
asymmetric_permutation_16mib,point_to_point,avail_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,441.44973,371.58246093750006,356.75800000000004,438.67375,441.44973,441.98078399999997,442.058,128,128,0,1,1,5.161718912999277,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/avail_default/seed_13/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/avail_default/seed_13/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed13.cm -nodes 128 -conns 128 -tiers 2 -lb avail -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 13 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse,524271,402,402,0,0,0,2642,7741,524687,0,0,0,387,0,0,0,0,0,0,0,6871,0,0,0,0,0,0,0,0,524288,399,0.0007610321044921875,0,524288,0,4096,0,0,547791,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445131,269.03,128,29184,0,0.03,0,0,0,0,0,0,13,1d32164f81bc51706685126f9d1cc694093e1e6c821cd1d47385414384b288d6,128,128,1,,0,967,0,521643,2642,0
asymmetric_permutation_16mib,point_to_point,avail_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,451.97825,372.9171875000001,356.79650000000004,448.76045,451.97825,454.451594,454.779,128,128,0,1,1,5.012641907000216,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/avail_default/seed_29/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/avail_default/seed_29/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed29.cm -nodes 128 -conns 128 -tiers 2 -lb avail -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 29 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse,524280,380,378,2,0,0,2675,7640,524665,0,0,0,373,0,0,0,0,0,2,0,7166,0,0,0,0,0,0,0,0,524288,377,0.0007190704345703125,0,524288,0,4096,0,0,546399,0,0,2,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444884,270.995,128,29120,0,0.03,0,0,0,0,0,0,29,d045bcab79bb8c6b4a01ed294e66d4d10281e44d44aaeba1d186cea1e5caa21f,128,128,1,,0,962,0,521610,2675,2
asymmetric_permutation_16mib,point_to_point,avail_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,451.51498,378.2398906250001,357.375,445.99125000000004,451.51498,454.02424299999996,454.239,128,128,0,1,1,5.4764280220006185,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/avail_default/seed_47/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/avail_default/seed_47/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed47.cm -nodes 128 -conns 128 -tiers 2 -lb avail -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 47 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse,524282,472,471,1,0,0,3107,7604,524759,0,0,0,464,0,0,0,0,0,1,0,8143,0,0,0,0,0,0,0,0,524288,471,0.0008983612060546875,0,524288,0,4096,0,0,551833,0,0,1,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472346,302.49,128,41728,0,0.03,0,0,0,0,0,0,47,8558dad7ebf29316f6b9bd0ca4559d451e7b7196ef51ac64bd013bc7fee7ce60,128,128,1,,0,1084,0,521180,3107,1
asymmetric_permutation_16mib,point_to_point,grade_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,461.48054,376.75749999999994,358.265,457.37345000000005,461.48054,464.073926,464.412,128,128,0,1,1,5.285009331000765,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/grade_default/seed_13/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/grade_default/seed_13/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed13.cm -nodes 128 -conns 128 -tiers 2 -lb grade -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 13 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse,524280,437,432,5,0,0,2855,7851,521639,1381,439,1265,423,0,0,0,0,0,5,0,7260,0,0,0,0,0,0,0,0,524288,436,0.00083160400390625,0,524288,0,4096,0,0,549417,0,0,5,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550677,350.742,128,54144,0,0.03,0,0,0,0,0,0,13,1d32164f81bc51706685126f9d1cc694093e1e6c821cd1d47385414384b288d6,128,128,1,,0,255,255,521432,2855,5
asymmetric_permutation_16mib,point_to_point,grade_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,466.45489,377.59834374999997,358.5915,461.68949999999995,466.45489,467.861689,467.937,128,128,0,1,1,5.168826561999595,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/grade_default/seed_29/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/grade_default/seed_29/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed29.cm -nodes 128 -conns 128 -tiers 2 -lb grade -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 29 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse,524283,407,402,5,0,0,2797,7735,521480,1558,429,1227,386,0,0,0,0,0,5,0,7314,0,0,0,0,0,0,0,0,524288,406,0.000774383544921875,0,524288,0,4096,0,0,547758,0,0,5,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654638,354.955,128,54080,0,0.03,0,0,0,0,0,0,29,d045bcab79bb8c6b4a01ed294e66d4d10281e44d44aaeba1d186cea1e5caa21f,128,128,1,,0,269,268,521490,2797,5
asymmetric_permutation_16mib,point_to_point,grade_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,474.40734999999995,384.4087343749999,359.524,466.7481,474.40734999999995,475.455085,475.537,128,128,0,1,1,5.262261773999853,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/grade_default/seed_47/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/grade_default/seed_47/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed47.cm -nodes 128 -conns 128 -tiers 2 -lb grade -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 47 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse,524277,497,487,10,0,0,3246,7713,521299,1601,448,1432,470,0,0,0,0,0,10,0,8181,0,0,0,0,0,0,0,0,524288,492,0.00093841552734375,0,524288,0,4096,0,0,552918,0,0,10,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540341,401.667,128,45824,0,0.04,0,0,0,0,0,0,47,8558dad7ebf29316f6b9bd0ca4559d451e7b7196ef51ac64bd013bc7fee7ce60,128,128,1,,0,256,254,521037,3246,10
asymmetric_permutation_16mib,point_to_point,netaware_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,422.71989,367.87127343749984,358.71000000000004,416.07539999999995,422.71989,427.22514600000005,427.708,128,128,0,1,1,5.460329404000731,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_default/seed_13/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_default/seed_13/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed13.cm -nodes 128 -conns 128 -tiers 2 -lb netaware -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 13 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse -netaware_weight_adaptation good_share_cap,524286,44,44,0,0,0,2972,7671,518262,5394,675,0,42,0,0,0,0,0,0,0,7179,524287,0,7672,7672,0,521285,362,6119,524288,43,8.20159912109375e-05,0,524288,0,4096,0,0,526906,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695763,405.566,128,108224,0,0.04,0,0,0,0,0,0,13,1d32164f81bc51706685126f9d1cc694093e1e6c821cd1d47385414384b288d6,128,128,1,,255,0,0,0,0,0
asymmetric_permutation_16mib,point_to_point,netaware_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,422.61436000000003,369.3453359375001,358.5165,419.32745,422.61436000000003,425.81075500000003,426.247,128,128,0,1,1,5.515866781001023,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_default/seed_29/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_default/seed_29/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed29.cm -nodes 128 -conns 128 -tiers 2 -lb netaware -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 29 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse -netaware_weight_adaptation good_share_cap,524283,54,54,0,0,0,2546,7567,519348,4340,654,0,51,0,0,0,0,0,0,0,6620,524288,0,7568,7568,0,521065,389,6171,524288,54,0.000102996826171875,0,524288,0,4096,0,0,527525,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647543,393.763,128,58240,0,0.04,0,0,0,0,0,0,29,d045bcab79bb8c6b4a01ed294e66d4d10281e44d44aaeba1d186cea1e5caa21f,128,128,1,,255,0,0,0,0,0
asymmetric_permutation_16mib,point_to_point,netaware_default,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,427.80728000000005,372.63017187499975,359.831,418.87335,427.80728000000005,432.09894799999995,432.388,128,128,0,1,1,5.5162537970009,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_default/seed_47/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_default/seed_47/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed47.cm -nodes 128 -conns 128 -tiers 2 -lb netaware -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 47 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse -netaware_weight_adaptation good_share_cap,524284,37,37,0,0,0,2755,7490,518770,4752,801,0,35,0,0,0,0,0,0,0,6995,524286,0,7490,7490,0,521235,455,5983,524288,35,6.67572021484375e-05,0,524288,0,4096,0,0,526519,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503768,495.535,128,62464,0,0.05,0,0,0,0,0,0,47,8558dad7ebf29316f6b9bd0ca4559d451e7b7196ef51ac64bd013bc7fee7ce60,128,128,1,,255,0,0,0,0,0
asymmetric_permutation_16mib,point_to_point,netaware_uniform,mrc_exact_bounded,dcqcn_variant,exact,p99_fct_us,700.8522,424.7835234375001,358.102,686.6641,700.8522,713.2469100000001,714.856,128,128,0,1,1,5.21468109000125,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_uniform/seed_13/stdout.log,/home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/sim/datacenter/htsim_roce -o /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/raw/asymmetric_permutation_16mib/netaware_uniform/seed_13/logout.dat -tm /home/user/workspace/csg-htsim/.worktrees/four-scheme-comparison/experiments/n-mrc/output/four_scheme_causal_ablation_20260725/traffic/asymmetric_permutation_16mib_seed13.cm -nodes 128 -conns 128 -tiers 2 -lb netaware -linkspeed 400000 -queue_type composite_ecn_lb -host_queue_type prio -mtu 4096 -end 10000 -paths 8 -seed 13 -cc dcqcn_variant -roce_rx_mode sp -roce_sack_bitmap_bits 64 -roce_transport_semantics mrc_exact_bounded -roce_trim_recovery exact -hop_latency 0.5 -switch_latency 0.5 -queue_cv_sample_us 100 -slow_tor_uplinks 4 -slow_tor_uplink_divisor 2 -slow_tor_uplink_select random-sparse -netaware_level_weights 1 1 1 1 -netaware_weight_adaptation off,524277,547,306,241,0,0,5220,8786,512316,8008,2136,2366,297,0,0,0,0,0,241,0,11633,524279,0,8786,8786,0,521185,874,6330,524288,538,0.001026153564453125,0,524288,0,4096,0,0,554860,4,0,237,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594232,261.641,128,41600,0,0.02,0,0,0,0,0,0,13,1d32164f81bc51706685126f9d1cc694093e1e6c821cd1d47385414384b288d6,128,128,1,,255,0,0,0,0,0
