variant,seed,size_bin,flows,mean_fct_us,p99_fct_us
avail_ecn_only,13,short_le_100k,15336,21.36578459885237,77.86475099999961
avail_ecn_only,13,medium_100k_1m,5068,57.51432550059196,223.5518030000003
avail_ecn_only,13,long_gt_1m,8787,791.8338763761238,6561.849595
avail_ecn_only,29,short_le_100k,15170,21.17292188253131,79.56600900000012
avail_ecn_only,29,medium_100k_1m,4868,55.43557262797864,217.28113500000018
avail_ecn_only,29,long_gt_1m,8602,697.6594663371309,5777.809008
avail_ecn_only,47,short_le_100k,15460,20.59445759010349,77.82127299999956
avail_ecn_only,47,medium_100k_1m,4944,55.657954486852766,213.04318299999977
avail_ecn_only,47,long_gt_1m,8713,702.8644650434983,5988.7881210000005
avail_hybrid,13,short_le_100k,15336,21.344442377934268,78.3090000000002
avail_hybrid,13,medium_100k_1m,5068,57.06816610832676,217.994646000001
avail_hybrid,13,long_gt_1m,8787,790.1086962236258,6505.549326
avail_hybrid,29,short_le_100k,15170,21.165928243770605,79.93474500000002
avail_hybrid,29,medium_100k_1m,4868,55.33611619823336,204.2128759999996
avail_hybrid,29,long_gt_1m,8602,698.6330669765171,5772.505913999999
avail_hybrid,47,short_le_100k,15460,20.685804110155246,79.60077799999999
avail_hybrid,47,medium_100k_1m,4944,55.54454615351943,206.9245179999998
avail_hybrid,47,long_gt_1m,8713,698.4477175856766,5912.2623189999995
avail_packet,13,short_le_100k,15336,20.619749511476265,72.61715600000025
avail_packet,13,medium_100k_1m,5068,55.29073710280189,202.53875400000015
avail_packet,13,long_gt_1m,8787,796.1273334718334,6574.8120579999995
avail_packet,29,short_le_100k,15170,20.59214759775873,75.4924030000002
avail_packet,29,medium_100k_1m,4868,53.62926496569434,197.12333600000056
avail_packet,29,long_gt_1m,8602,702.8107977019298,5780.24617
avail_packet,47,short_le_100k,15460,20.134427499547222,72.17749899999944
avail_packet,47,medium_100k_1m,4944,54.25527004105988,201.18210200000067
avail_packet,47,long_gt_1m,8713,701.5125867811316,5973.589626999999
avail_time,13,short_le_100k,15336,20.619749511476265,72.61715600000025
avail_time,13,medium_100k_1m,5068,55.29073710280189,202.53875400000015
avail_time,13,long_gt_1m,8787,796.1273334718334,6574.8120579999995
avail_time,29,short_le_100k,15170,20.59214759775873,75.4924030000002
avail_time,29,medium_100k_1m,4868,53.62926496569434,197.12333600000056
avail_time,29,long_gt_1m,8602,702.8107977019298,5780.24617
avail_time,47,short_le_100k,15460,20.134427499547222,72.17749899999944
avail_time,47,medium_100k_1m,4944,54.25527004105988,201.18210200000067
avail_time,47,long_gt_1m,8713,701.5125867811316,5973.589626999999
grade_conservative,13,short_le_100k,15336,21.53982992814293,80.10162800000035
grade_conservative,13,medium_100k_1m,5068,57.446299494277824,222.40751699999964
grade_conservative,13,long_gt_1m,8787,788.5367375346534,6617.044292999999
grade_conservative,29,short_le_100k,15170,21.26749220026368,78.72519499999999
grade_conservative,29,medium_100k_1m,4868,55.19323914400165,212.3246820000004
grade_conservative,29,long_gt_1m,8602,694.0108522241339,5693.28578
grade_conservative,47,short_le_100k,15460,20.85095920523933,78.90195800000015
grade_conservative,47,medium_100k_1m,4944,55.81203935740292,209.1058239999993
grade_conservative,47,long_gt_1m,8713,699.4182216026627,5949.495319
grade_default,13,short_le_100k,15336,20.796933031950964,75.01732600000014
grade_default,13,medium_100k_1m,5068,56.11399726460142,224.83948799999962
grade_default,13,long_gt_1m,8787,798.2239125773302,6670.689772000001
grade_default,29,short_le_100k,15170,20.541644593144362,74.85927600000014
grade_default,29,medium_100k_1m,4868,53.89037807169269,197.78626299999996
grade_default,29,long_gt_1m,8602,707.5661955628923,5845.607058
grade_default,47,short_le_100k,15460,20.250410188421736,76.7184070000003
grade_default,47,medium_100k_1m,4944,54.28647942617314,197.730994
grade_default,47,long_gt_1m,8713,704.1444836937909,5946.037833
grade_equal,13,short_le_100k,15336,21.400967323813248,78.07243900000049
grade_equal,13,medium_100k_1m,5068,57.571843298539854,220.37936600000012
grade_equal,13,long_gt_1m,8787,791.2190133739615,6535.010247
grade_equal,29,short_le_100k,15170,21.094863637310485,76.54228000000012
grade_equal,29,medium_100k_1m,4868,55.15410190078061,207.55376799999976
grade_equal,29,long_gt_1m,8602,698.6679498525924,5762.943922999999
grade_equal,47,short_le_100k,15460,20.64954011727038,76.44024799999988
grade_equal,47,medium_100k_1m,4944,55.55947362115696,208.88368599999922
grade_equal,47,long_gt_1m,8713,699.5331124668885,5945.457466
grade_gentle,13,short_le_100k,15336,21.181890634976526,76.34285499999987
grade_gentle,13,medium_100k_1m,5068,57.1240369449487,219.67587400000002
grade_gentle,13,long_gt_1m,8787,792.147842246159,6657.012058
grade_gentle,29,short_le_100k,15170,21.04841939868161,78.33544799999981
grade_gentle,29,medium_100k_1m,4868,55.04623686380444,204.4669530000001
grade_gentle,29,long_gt_1m,8602,702.9387267881888,5762.400415
grade_gentle,47,short_le_100k,15460,20.612058713648132,77.10189400000002
grade_gentle,47,medium_100k_1m,4944,55.26396688572006,201.22633399999995
grade_gentle,47,long_gt_1m,8713,698.6136551846665,5966.073081
grade_sensitive,13,short_le_100k,15336,21.48998048891497,78.80340500000011
grade_sensitive,13,medium_100k_1m,5068,57.39595912332281,217.29789400000027
grade_sensitive,13,long_gt_1m,8787,788.8386070009104,6654.361236
grade_sensitive,29,short_le_100k,15170,21.155696933289388,78.12761899999987
grade_sensitive,29,medium_100k_1m,4868,55.35546979313886,210.79841900000065
grade_sensitive,29,long_gt_1m,8602,696.8650303222506,5789.217925
grade_sensitive,47,short_le_100k,15460,20.802223914165594,77.17139799999995
grade_sensitive,47,medium_100k_1m,4944,55.50065361711166,209.60630799999944
grade_sensitive,47,long_gt_1m,8713,694.533161462642,5861.039795
grade_sharp,13,short_le_100k,15336,19.913266078377674,70.04691099999945
grade_sharp,13,medium_100k_1m,5068,53.51412788812155,193.3183039999999
grade_sharp,13,long_gt_1m,8787,837.394946684534,6853.629595
grade_sharp,29,short_le_100k,15170,19.956777473829927,71.53706799999964
grade_sharp,29,medium_100k_1m,4868,52.2262377676664,191.5306300000002
grade_sharp,29,long_gt_1m,8602,724.4932088156243,5810.422554
grade_sharp,47,short_le_100k,15460,19.63459205776197,69.38874299999998
grade_sharp,47,medium_100k_1m,4944,53.32543019478155,187.9548920000002
grade_sharp,47,long_gt_1m,8713,720.6860178381729,5988.820636999999
netaware_default_off,13,short_le_100k,15336,21.389747411841423,76.86735500000032
netaware_default_off,13,medium_100k_1m,5068,57.230540753157065,215.39160599999923
netaware_default_off,13,long_gt_1m,8787,787.847180621031,6489.912058
netaware_default_off,29,short_le_100k,15170,21.15093385484509,77.68901499999993
netaware_default_off,29,medium_100k_1m,4868,55.33892071754313,211.22881400000006
netaware_default_off,29,long_gt_1m,8602,697.9322533982795,5732.16578
netaware_default_off,47,short_le_100k,15460,20.82610651636482,77.16394900000068
netaware_default_off,47,medium_100k_1m,4944,55.973229547532355,219.03414699999985
netaware_default_off,47,long_gt_1m,8713,700.4050442355101,5965.557466
netaware_equal,13,short_le_100k,15336,21.48047380725091,76.69732600000043
netaware_equal,13,medium_100k_1m,5068,58.00092749348856,222.90293199999996
netaware_equal,13,long_gt_1m,8787,789.6007301828838,6618.244293
netaware_equal,29,short_le_100k,15170,21.233461211470008,78.73342899999989
netaware_equal,29,medium_100k_1m,4868,55.362823552382906,211.25035499999967
netaware_equal,29,long_gt_1m,8602,696.68864028505,5740.630399000001
netaware_equal,47,short_le_100k,15460,20.89918154870634,79.14872100000002
netaware_equal,47,medium_100k_1m,4944,55.93770568021845,206.37582399999974
netaware_equal,47,long_gt_1m,8713,700.8040112962241,5995.11708
netaware_gentle,13,short_le_100k,15336,21.405908731611888,76.25274000000036
netaware_gentle,13,medium_100k_1m,5068,57.66847682261247,225.34559400000035
netaware_gentle,13,long_gt_1m,8787,787.0251127935587,6616.733276999999
netaware_gentle,29,short_le_100k,15170,21.200088436255765,77.720867
netaware_gentle,29,medium_100k_1m,4868,55.53550227054232,207.01962599999933
netaware_gentle,29,long_gt_1m,8602,697.7071777182051,5809.705914
netaware_gentle,47,short_le_100k,15460,20.81876563667529,77.35383000000002
netaware_gentle,47,medium_100k_1m,4944,55.96786142455502,212.73415000000023
netaware_gentle,47,long_gt_1m,8713,699.2228681767474,5872.507211
netaware_goodcap,13,short_le_100k,15336,21.517377171883155,77.74317100000007
netaware_goodcap,13,medium_100k_1m,5068,57.36656679893449,219.83502999999973
netaware_goodcap,13,long_gt_1m,8787,792.6996877338113,6577.62165
netaware_goodcap,29,short_le_100k,15170,21.183733854845094,78.28130799999872
netaware_goodcap,29,medium_100k_1m,4868,55.36922946857026,211.78265600000032
netaware_goodcap,29,long_gt_1m,8602,697.2895663487561,5733.7472800000005
netaware_goodcap,47,short_le_100k,15460,20.923620746636487,78.44115899999997
netaware_goodcap,47,medium_100k_1m,4944,56.0221514730987,211.3321020000003
netaware_goodcap,47,long_gt_1m,8713,699.7888970990474,5893.268121
netaware_sharp,13,short_le_100k,15336,21.389385518257686,79.06106799999907
netaware_sharp,13,medium_100k_1m,5068,57.604911313535915,226.33675799999946
netaware_sharp,13,long_gt_1m,8787,791.6569473218391,6598.121791
netaware_sharp,29,short_le_100k,15170,21.090809596440348,77.20300500000121
netaware_sharp,29,medium_100k_1m,4868,55.00512470275265,209.80895800000053
netaware_sharp,29,long_gt_1m,8602,699.4041736493839,5777.397335
netaware_sharp,47,short_le_100k,15460,20.76468931067271,76.29818100000011
netaware_sharp,47,medium_100k_1m,4944,55.60403051840614,207.98210199999994
netaware_sharp,47,long_gt_1m,8713,697.4744990731092,5885.940576999999
