scenario,variant,seed,profile,level_changes,paired_reversals,all_zero_profiles,all_zero_selections
asymmetric_permutation_16mib,avail_ecn_only,13,stor,522,259,0,0
asymmetric_permutation_16mib,avail_ecn_only,13,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_ecn_only,29,stor,512,251,0,0
asymmetric_permutation_16mib,avail_ecn_only,29,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_ecn_only,47,stor,560,273,0,0
asymmetric_permutation_16mib,avail_ecn_only,47,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_hybrid,13,stor,574,287,0,0
asymmetric_permutation_16mib,avail_hybrid,13,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_hybrid,29,stor,562,281,0,0
asymmetric_permutation_16mib,avail_hybrid,29,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_hybrid,47,stor,637,318,0,0
asymmetric_permutation_16mib,avail_hybrid,47,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_packet,13,stor,522,259,0,0
asymmetric_permutation_16mib,avail_packet,13,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_packet,29,stor,512,251,0,0
asymmetric_permutation_16mib,avail_packet,29,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_packet,47,stor,560,273,0,0
asymmetric_permutation_16mib,avail_packet,47,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_time,13,stor,522,259,0,0
asymmetric_permutation_16mib,avail_time,13,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_time,29,stor,512,251,0,0
asymmetric_permutation_16mib,avail_time,29,netaware,0,0,0,0
asymmetric_permutation_16mib,avail_time,47,stor,560,273,0,0
asymmetric_permutation_16mib,avail_time,47,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_conservative,13,stor,660,292,0,0
asymmetric_permutation_16mib,grade_conservative,13,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_conservative,29,stor,757,326,0,0
asymmetric_permutation_16mib,grade_conservative,29,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_conservative,47,stor,802,298,0,0
asymmetric_permutation_16mib,grade_conservative,47,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_default,13,stor,783,227,0,0
asymmetric_permutation_16mib,grade_default,13,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_default,29,stor,806,229,0,0
asymmetric_permutation_16mib,grade_default,29,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_default,47,stor,854,206,0,0
asymmetric_permutation_16mib,grade_default,47,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_equal,13,stor,1010,305,0,0
asymmetric_permutation_16mib,grade_equal,13,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_equal,29,stor,1007,291,0,0
asymmetric_permutation_16mib,grade_equal,29,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_equal,47,stor,1101,363,0,0
asymmetric_permutation_16mib,grade_equal,47,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_gentle,13,stor,889,275,0,0
asymmetric_permutation_16mib,grade_gentle,13,netaware,0,0,0,0
asymmetric_permutation_16mib,grade_gentle,29,stor,890,264,0,0
asymmetric_permutation_16mib,grade_gentle,29,netaware,0,0,0,0
