scenario,axis,parallel,flow_kib,per_source_mib,variant,weights,cct_geomean_us,seed_cct_us,QueueDiag.composite_ecn_marks,QueueDiag.composite_trims,RoceDiag.nacks,StorProfileDiag.stor_level_changes,StorProfileDiag.stor_all_zero_profiles,StorProfileDiag.stor_all_zero_selections,QueueCvDiag.spine_queue_cv
collective_p16_flow512kib,parallel,16,512,63.5,default,4/2/1/0,1946.1175285945908,13:1927.590000;29:1962.320000;47:1948.600000,2284473.0,328995.0,471430.0,85753.33333333333,2351.3333333333335,150381.66666666666,0.41500699999999996
collective_p16_flow512kib,parallel,16,512,63.5,equal,4/4/4/0,1885.5414592916825,13:1886.320000;29:1888.340000;47:1881.970000,2074787.3333333333,289543.3333333333,435573.3333333333,85323.66666666667,2138.6666666666665,141985.0,0.4273096666666667
collective_p16_flow512kib,parallel,16,512,63.5,gentle,4/3/2/0,1907.966192097342,13:1913.720000;29:1929.090000;47:1881.400000,2186559.6666666665,310576.3333333333,453016.6666666667,86089.33333333333,2230.0,145381.0,0.40126466666666666
collective_p16_flow512kib,parallel,16,512,63.5,sharp,8/2/1/0,1956.4004818786468,13:1921.540000;29:1977.410000;47:1970.730000,2363406.0,349259.6666666667,491764.6666666667,87485.33333333333,2457.0,156998.0,0.374547
collective_p1_flow512kib,parallel,1,512,63.5,default,4/2/1/0,3833.6326828933584,13:3586.680000;29:4248.670000;47:3697.310000,5158.666666666667,96463.66666666667,97262.0,61515.333333333336,122.0,3773.3333333333335,0.49961933333333336
collective_p1_flow512kib,parallel,1,512,63.5,equal,4/4/4/0,3808.812277612936,13:3808.190000;29:3661.850000;47:3962.320000,3893.3333333333335,113373.66666666667,114210.66666666667,72338.0,142.66666666666666,4486.666666666667,0.3731416666666667
collective_p1_flow512kib,parallel,1,512,63.5,gentle,4/3/2/0,3773.5101109169877,13:3855.640000;29:3647.630000;47:3820.580000,3877.0,110418.33333333333,111188.33333333333,70323.66666666667,151.0,4780.666666666667,0.4535403333333334
collective_p1_flow512kib,parallel,1,512,63.5,sharp,8/2/1/0,3934.5571332851864,13:3845.100000;29:3931.750000;47:4028.970000,12064.0,109923.0,110944.33333333333,68968.66666666667,144.66666666666666,4171.0,0.6266033333333333
collective_p2_flow512kib,parallel,2,512,63.5,default,4/2/1/0,2991.97569939066,13:2922.470000;29:2744.140000;47:3339.780000,187606.66666666666,224867.33333333334,231446.0,128555.66666666667,608.3333333333334,22307.333333333332,0.571165
collective_p2_flow512kib,parallel,2,512,63.5,equal,4/4/4/0,2666.7400164756978,13:2701.180000;29:2811.560000;47:2497.130000,97684.66666666667,217420.33333333334,222350.66666666666,127433.33333333333,475.3333333333333,18265.333333333332,0.583941
collective_p2_flow512kib,parallel,2,512,63.5,gentle,4/3/2/0,2945.5811656745905,13:2692.110000;29:3134.510000;47:3028.660000,129122.0,229891.66666666666,235760.66666666666,132548.0,603.6666666666666,22474.0,0.5374223333333333
collective_p2_flow512kib,parallel,2,512,63.5,sharp,8/2/1/0,2773.3152414961296,13:2659.160000;29:3068.840000;47:2613.840000,312374.3333333333,203598.0,210183.66666666666,119839.33333333333,448.0,16141.0,0.5678176666666667
collective_p32_flow512kib,parallel,32,512,63.5,default,4/2/1/0,1987.886720834356,13:1978.820000;29:2004.170000;47:1980.770000,2659265.3333333335,403206.6666666667,883709.3333333334,75352.33333333333,1481.3333333333333,91397.33333333333,0.4882586666666666
collective_p32_flow512kib,parallel,32,512,63.5,equal,4/4/4/0,1930.7512593104627,13:1936.590000;29:1930.250000;47:1925.430000,2288469.0,322897.6666666667,796013.6666666666,69419.0,982.3333333333334,61245.333333333336,0.4890926666666667
collective_p32_flow512kib,parallel,32,512,63.5,gentle,4/3/2/0,1944.9012070779575,13:1945.940000;29:1947.790000;47:1940.980000,2424399.0,355351.6666666667,821339.3333333334,71800.0,1191.6666666666667,71197.33333333333,0.49766399999999994
collective_p32_flow512kib,parallel,32,512,63.5,sharp,8/2/1/0,2011.4860180674025,13:1982.150000;29:2047.400000;47:2005.450000,2804583.6666666665,435633.6666666667,928787.0,77013.0,1652.3333333333333,100020.0,0.45715700000000004
collective_p4_flow128kib,flow_size,4,128,15.875,default,4/2/1/0,482.1162630085018,13:484.181000;29:478.834000;47:483.351000,200.0,81.0,81.0,123.66666666666667,0.0,0.0,0.6036216666666667
collective_p4_flow128kib,flow_size,4,128,15.875,equal,4/4/4/0,490.69186150406307,13:492.305000;29:485.456000;47:494.359000,233.33333333333334,166.66666666666666,167.66666666666666,194.33333333333334,0.0,0.0,0.6122563333333333
collective_p4_flow128kib,flow_size,4,128,15.875,gentle,4/3/2/0,493.692259059671,13:487.703000;29:493.191000;47:500.263000,178.33333333333334,116.66666666666667,116.66666666666667,133.33333333333334,0.0,0.0,0.5951430000000001
collective_p4_flow128kib,flow_size,4,128,15.875,sharp,8/2/1/0,488.8601741239759,13:497.469000;29:483.783000;47:485.442000,199.66666666666666,172.33333333333334,175.66666666666666,191.0,0.0,0.0,0.6120843333333333
collective_p4_flow2048kib,flow_size,4,2048,254.0,default,4/2/1/0,11765.384159228523,13:12270.300000;29:11078.500000;47:11980.700000,1018452.6666666666,581416.3333333334,619360.0,463855.0,1268.0,34928.666666666664,0.34753666666666666
collective_p4_flow2048kib,flow_size,4,2048,254.0,equal,4/4/4/0,10664.051538058573,13:9697.510000;29:11605.100000;47:10776.000000,716140.0,608271.0,648024.3333333334,459412.0,1096.3333333333333,33210.666666666664,0.2988733333333333
collective_p4_flow2048kib,flow_size,4,2048,254.0,gentle,4/3/2/0,11118.964237251073,13:11026.100000;29:11150.200000;47:11181.200000,816570.6666666666,597031.6666666666,635683.3333333334,457420.6666666667,1203.0,35007.333333333336,0.35572133333333333
collective_p4_flow2048kib,flow_size,4,2048,254.0,sharp,8/2/1/0,11171.509363515454,13:11624.800000;29:11626.000000;47:10316.200000,1484892.0,514584.6666666667,548149.0,447265.3333333333,1277.0,33797.666666666664,0.3062466666666666
collective_p4_flow512kib,parallel,4,512,63.5,default,4/2/1/0,2245.6565298061473,13:2227.190000;29:2231.530000;47:2278.610000,1655777.3333333333,241949.33333333334,265033.0,104922.66666666667,1977.6666666666667,111246.33333333333,0.4110546666666666
collective_p4_flow512kib,parallel,4,512,63.5,equal,4/4/4/0,2158.493336990846,13:2122.710000;29:2189.750000;47:2163.550000,1478020.0,226884.66666666666,249027.33333333334,108413.33333333333,1833.3333333333333,105178.33333333333,0.38418766666666665
collective_p4_flow512kib,parallel,4,512,63.5,gentle,4/3/2/0,2254.434932465565,13:2215.850000;29:2355.960000;47:2194.850000,1526724.0,232108.66666666666,254517.0,108536.66666666667,1900.0,107640.33333333333,0.367988
collective_p4_flow512kib,parallel,4,512,63.5,sharp,8/2/1/0,2311.8760939836407,13:2311.750000;29:2313.930000;47:2309.950000,1713593.0,255703.66666666666,278981.0,103670.0,1985.6666666666667,109329.33333333333,0.35309999999999997
collective_p4_flow8192kib,flow_size,4,8192,1016.0,default,4/2/1/0,38007.63038403504,13:37761.100000;29:37900.900000;47:38363.500000,1130025.0,1259720.6666666667,1335870.3333333333,1099684.3333333333,408.6666666666667,10579.666666666666,0.20560666666666663
collective_p4_flow8192kib,flow_size,4,8192,1016.0,equal,4/4/4/0,38283.76932970039,13:35572.700000;29:36878.200000;47:42771.800000,733505.6666666666,1289924.6666666667,1374695.0,1054079.3333333333,327.0,9422.666666666666,0.12297166666666666
collective_p4_flow8192kib,flow_size,4,8192,1016.0,gentle,4/3/2/0,40668.24172532631,13:40224.000000;29:44029.900000;47:37978.100000,919517.3333333334,1298953.0,1382029.6666666667,1105041.6666666667,449.6666666666667,11326.333333333334,0.1693093333333333
collective_p4_flow8192kib,flow_size,4,8192,1016.0,sharp,8/2/1/0,38730.02367075231,13:38493.400000;29:39425.700000;47:38280.500000,1770369.3333333333,1160892.0,1229427.3333333333,1129576.3333333333,480.0,9396.666666666666,0.2719216666666667
collective_p8_flow512kib,parallel,8,512,63.5,default,4/2/1/0,2141.5441541412997,13:2205.730000;29:2130.790000;47:2089.720000,2078487.0,306237.6666666667,363245.6666666667,99432.0,2643.0,164946.66666666666,0.41095533333333334
collective_p8_flow512kib,parallel,8,512,63.5,equal,4/4/4/0,1993.930249580408,13:1958.590000;29:2009.630000;47:2014.050000,1934358.3333333333,278073.6666666667,335331.3333333333,99309.66666666667,2523.3333333333335,159828.0,0.397592
collective_p8_flow512kib,parallel,8,512,63.5,gentle,4/3/2/0,2083.1646075669355,13:2003.780000;29:2007.010000;47:2247.870000,2012126.6666666667,297331.6666666667,355715.0,100750.33333333333,2677.0,170697.0,0.406322
collective_p8_flow512kib,parallel,8,512,63.5,sharp,8/2/1/0,2106.690304408998,13:2122.210000;29:2108.590000;47:2089.400000,2127565.0,320358.0,376643.0,98567.0,2659.0,161223.66666666666,0.38763299999999995
