figure,panel,scenario,column_key,column_label,family,traffic,size_mib,websearch_load_pct,parallel,degraded,periodic_background,scheme,metric,geomean_us,baseline_us,ratio,seed_count,baseline_schemes,implementation,seed_values_us
alltoall,All-to-All,healthy_alltoall_64mib_p4,64mib_healthy_p4,"64 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,64,0,4,0,0,ops,all_to_all_cct_us,2996.68170913146,2332.818602041864,1.2845755372957552,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p4,64mib_healthy_p4,"64 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,64,0,4,0,0,reps,all_to_all_cct_us,2455.5978633222926,2332.818602041864,1.0526312938232587,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p4,64mib_healthy_p4,"64 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,64,0,4,0,0,mrc,all_to_all_cct_us,2476.94557700523,2332.818602041864,1.0617823326842537,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:2475.040000;29:2691.700000;47:2281.080000
alltoall,All-to-All,healthy_alltoall_64mib_p4,64mib_healthy_p4,"64 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,64,0,4,0,0,sglb,all_to_all_cct_us,2332.818602041864,2332.818602041864,1.0,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p4,64mib_healthy_p4,"64 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,64,0,4,0,0,n-mrc,all_to_all_cct_us,2306.478252885482,2332.818602041864,0.9887087881015152,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p8,64mib_healthy_p8,"64 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,64,0,8,0,0,ops,all_to_all_cct_us,1913.5749149494343,1725.5666495477155,1.1089545080458048,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p8,64mib_healthy_p8,"64 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,64,0,8,0,0,reps,all_to_all_cct_us,1777.680228226614,1725.5666495477155,1.0302008494963424,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p8,64mib_healthy_p8,"64 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,64,0,8,0,0,mrc,all_to_all_cct_us,1725.5666495477155,1725.5666495477155,1.0,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:1712.510000;29:1724.310000;47:1739.990000
alltoall,All-to-All,healthy_alltoall_64mib_p8,64mib_healthy_p8,"64 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,64,0,8,0,0,sglb,all_to_all_cct_us,1854.5094968321328,1725.5666495477155,1.0747249301081556,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p8,64mib_healthy_p8,"64 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,64,0,8,0,0,n-mrc,all_to_all_cct_us,1842.9663393393485,1725.5666495477155,1.0680354420516902,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p16,64mib_healthy_p16,"64 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,64,0,16,0,0,ops,all_to_all_cct_us,1812.9330420301546,1720.9332838234438,1.0534592241730094,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p16,64mib_healthy_p16,"64 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,64,0,16,0,0,reps,all_to_all_cct_us,1807.220790565482,1720.9332838234438,1.0501399488016938,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p16,64mib_healthy_p16,"64 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,64,0,16,0,0,mrc,all_to_all_cct_us,1720.9332838234438,1720.9332838234438,1.0,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:1751.360000;29:1703.840000;47:1708.000000
alltoall,All-to-All,healthy_alltoall_64mib_p16,64mib_healthy_p16,"64 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,64,0,16,0,0,sglb,all_to_all_cct_us,1922.6172205883904,1720.9332838234438,1.1171945122223796,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_64mib_p16,64mib_healthy_p16,"64 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,64,0,16,0,0,n-mrc,all_to_all_cct_us,1798.7329306119186,1720.9332838234438,1.0452078227086323,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p4,64mib_degraded_bg_p4,"64 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,64,0,4,1,1,ops,all_to_all_cct_us,2611.4696161848233,2377.656503021989,1.0983376332391408,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p4,64mib_degraded_bg_p4,"64 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,64,0,4,1,1,reps,all_to_all_cct_us,2377.656503021989,2377.656503021989,1.0,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p4,64mib_degraded_bg_p4,"64 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,64,0,4,1,1,mrc,all_to_all_cct_us,2623.2654543754747,2377.656503021989,1.1032987528018947,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:2523.110000;29:2739.380000;47:2611.790000
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p4,64mib_degraded_bg_p4,"64 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,64,0,4,1,1,sglb,all_to_all_cct_us,2455.454208623707,2377.656503021989,1.0327203300825152,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p4,64mib_degraded_bg_p4,"64 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,64,0,4,1,1,n-mrc,all_to_all_cct_us,2564.800805983046,2377.656503021989,1.0787095624297276,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p8,64mib_degraded_bg_p8,"64 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,64,0,8,1,1,ops,all_to_all_cct_us,2339.558875504619,2000.0080507789658,1.1697747289534184,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p8,64mib_degraded_bg_p8,"64 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,64,0,8,1,1,reps,all_to_all_cct_us,2095.146642568481,2000.0080507789658,1.047569104410585,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p8,64mib_degraded_bg_p8,"64 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,64,0,8,1,1,mrc,all_to_all_cct_us,2031.434582365346,2000.0080507789658,1.01571320254143,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:2043.560000;29:2023.270000;47:2027.530000
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p8,64mib_degraded_bg_p8,"64 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,64,0,8,1,1,sglb,all_to_all_cct_us,2000.0080507789658,2000.0080507789658,1.0,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p8,64mib_degraded_bg_p8,"64 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,64,0,8,1,1,n-mrc,all_to_all_cct_us,2119.3041856384775,2000.0080507789658,1.059647827324019,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p16,64mib_degraded_bg_p16,"64 MiB
3% half-rate · bg on
P=16",asymmetric_alltoall_background,alltoall,64,0,16,1,1,ops,all_to_all_cct_us,2157.199096907581,1953.119227022409,1.1044892022266855,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p16,64mib_degraded_bg_p16,"64 MiB
3% half-rate · bg on
P=16",asymmetric_alltoall_background,alltoall,64,0,16,1,1,reps,all_to_all_cct_us,1993.414139815377,1953.119227022409,1.020631056330544,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p16,64mib_degraded_bg_p16,"64 MiB
3% half-rate · bg on
P=16",asymmetric_alltoall_background,alltoall,64,0,16,1,1,mrc,all_to_all_cct_us,1998.6154449320206,1953.119227022409,1.0232941324216915,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:2119.650000;29:1955.370000;47:1926.170000
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p16,64mib_degraded_bg_p16,"64 MiB
3% half-rate · bg on
P=16",asymmetric_alltoall_background,alltoall,64,0,16,1,1,sglb,all_to_all_cct_us,1953.119227022409,1953.119227022409,1.0,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_64mib_p16,64mib_degraded_bg_p16,"64 MiB
3% half-rate · bg on
P=16",asymmetric_alltoall_background,alltoall,64,0,16,1,1,n-mrc,all_to_all_cct_us,1989.2390572911902,1953.119227022409,1.0184934077597747,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p4,256mib_healthy_p4,"256 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,256,0,4,0,0,ops,all_to_all_cct_us,11984.930649944547,8900.774559159869,1.3465042362645556,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p4,256mib_healthy_p4,"256 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,256,0,4,0,0,reps,all_to_all_cct_us,10734.966336795898,8900.774559159869,1.206071029599154,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p4,256mib_healthy_p4,"256 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,256,0,4,0,0,mrc,all_to_all_cct_us,8900.774559159869,8900.774559159869,1.0,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:8730.580000;29:9420.590000;47:8573.580000
alltoall,All-to-All,healthy_alltoall_256mib_p4,256mib_healthy_p4,"256 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,256,0,4,0,0,sglb,all_to_all_cct_us,10236.264242999152,8900.774559159869,1.150041962636265,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p4,256mib_healthy_p4,"256 MiB
Healthy · bg off
P=4",healthy_alltoall,alltoall,256,0,4,0,0,n-mrc,all_to_all_cct_us,10562.9382253492,8900.774559159869,1.1867437103525764,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p8,256mib_healthy_p8,"256 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,256,0,8,0,0,ops,all_to_all_cct_us,8855.767530677995,7927.532182780141,1.1170900762678868,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p8,256mib_healthy_p8,"256 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,256,0,8,0,0,reps,all_to_all_cct_us,8686.686000412396,7927.532182780141,1.0957616822144547,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p8,256mib_healthy_p8,"256 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,256,0,8,0,0,mrc,all_to_all_cct_us,7927.532182780141,7927.532182780141,1.0,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:7650.420000;29:8078.890000;47:8060.780000
alltoall,All-to-All,healthy_alltoall_256mib_p8,256mib_healthy_p8,"256 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,256,0,8,0,0,sglb,all_to_all_cct_us,8451.941765022626,7927.532182780141,1.066150419847123,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p8,256mib_healthy_p8,"256 MiB
Healthy · bg off
P=8",healthy_alltoall,alltoall,256,0,8,0,0,n-mrc,all_to_all_cct_us,8638.684926522063,7927.532182780141,1.089706699051523,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p16,256mib_healthy_p16,"256 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,256,0,16,0,0,ops,all_to_all_cct_us,7695.130906748964,7048.958610767029,1.0916691857141747,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p16,256mib_healthy_p16,"256 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,256,0,16,0,0,reps,all_to_all_cct_us,7721.784171215191,7048.958610767029,1.0954503491367427,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p16,256mib_healthy_p16,"256 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,256,0,16,0,0,mrc,all_to_all_cct_us,7048.958610767029,7048.958610767029,1.0,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:6662.870000;29:7121.130000;47:7381.840000
alltoall,All-to-All,healthy_alltoall_256mib_p16,256mib_healthy_p16,"256 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,256,0,16,0,0,sglb,all_to_all_cct_us,7486.722270370134,7048.958610767029,1.0621033096909431,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,healthy_alltoall_256mib_p16,256mib_healthy_p16,"256 MiB
Healthy · bg off
P=16",healthy_alltoall,alltoall,256,0,16,0,0,n-mrc,all_to_all_cct_us,6980.918795404335,7048.958610767029,0.9903475365483397,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p4,256mib_degraded_bg_p4,"256 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,256,0,4,1,1,ops,all_to_all_cct_us,11823.69525164999,10544.762105216862,1.1212861071375329,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p4,256mib_degraded_bg_p4,"256 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,256,0,4,1,1,reps,all_to_all_cct_us,10544.762105216862,10544.762105216862,1.0,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p4,256mib_degraded_bg_p4,"256 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,256,0,4,1,1,mrc,all_to_all_cct_us,11836.938544946654,10544.762105216862,1.1225420191405273,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:12559.400000;29:10737.700000;47:12298.100000
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p4,256mib_degraded_bg_p4,"256 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,256,0,4,1,1,sglb,all_to_all_cct_us,10876.251203702039,10544.762105216862,1.031436375252238,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p4,256mib_degraded_bg_p4,"256 MiB
3% half-rate · bg on
P=4",asymmetric_alltoall_background,alltoall,256,0,4,1,1,n-mrc,all_to_all_cct_us,11255.757568125622,10544.762105216862,1.0674264109341078,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p8,256mib_degraded_bg_p8,"256 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,256,0,8,1,1,ops,all_to_all_cct_us,10222.73184133151,9003.669126888055,1.1353962142836762,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p8,256mib_degraded_bg_p8,"256 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,256,0,8,1,1,reps,all_to_all_cct_us,9003.669126888055,9003.669126888055,1.0,3,ops;reps;mrc;sglb,archived,archived_three_seed
alltoall,All-to-All,asymmetric_alltoall_background_256mib_p8,256mib_degraded_bg_p8,"256 MiB
3% half-rate · bg on
P=8",asymmetric_alltoall_background,alltoall,256,0,8,1,1,mrc,all_to_all_cct_us,9398.235206070167,9003.669126888055,1.0438228097480617,3,ops;reps;mrc;sglb,one_cycle_no_rearm,13:9127.770000;29:10320.500000;47:8811.980000
