scenario,scheme,seed,all_to_all_cct_us
healthy_alltoall_64mib_p4,mrc,13,2475.04
healthy_alltoall_64mib_p4,mrc,29,2691.7
healthy_alltoall_64mib_p4,mrc,47,2281.08
healthy_alltoall_64mib_p8,mrc,13,1712.51
healthy_alltoall_64mib_p8,mrc,29,1724.31
healthy_alltoall_64mib_p8,mrc,47,1739.99
healthy_alltoall_64mib_p16,mrc,13,1751.36
healthy_alltoall_64mib_p16,mrc,29,1703.84
healthy_alltoall_64mib_p16,mrc,47,1708.0
asymmetric_alltoall_background_64mib_p4,mrc,13,2523.11
asymmetric_alltoall_background_64mib_p4,mrc,29,2739.38
asymmetric_alltoall_background_64mib_p4,mrc,47,2611.79
asymmetric_alltoall_background_64mib_p8,mrc,13,2043.56
asymmetric_alltoall_background_64mib_p8,mrc,29,2023.27
asymmetric_alltoall_background_64mib_p8,mrc,47,2027.53
asymmetric_alltoall_background_64mib_p16,mrc,13,2119.65
asymmetric_alltoall_background_64mib_p16,mrc,29,1955.37
asymmetric_alltoall_background_64mib_p16,mrc,47,1926.17
healthy_alltoall_256mib_p4,mrc,13,8730.58
healthy_alltoall_256mib_p4,mrc,29,9420.59
healthy_alltoall_256mib_p4,mrc,47,8573.58
healthy_alltoall_256mib_p8,mrc,13,7650.42
healthy_alltoall_256mib_p8,mrc,29,8078.89
healthy_alltoall_256mib_p8,mrc,47,8060.78
healthy_alltoall_256mib_p16,mrc,13,6662.87
healthy_alltoall_256mib_p16,mrc,29,7121.13
healthy_alltoall_256mib_p16,mrc,47,7381.84
asymmetric_alltoall_background_256mib_p4,mrc,13,12559.4
asymmetric_alltoall_background_256mib_p4,mrc,29,10737.7
asymmetric_alltoall_background_256mib_p4,mrc,47,12298.1
asymmetric_alltoall_background_256mib_p8,mrc,13,9127.77
asymmetric_alltoall_background_256mib_p8,mrc,29,10320.5
asymmetric_alltoall_background_256mib_p8,mrc,47,8811.98
asymmetric_alltoall_background_256mib_p16,mrc,13,8767.85
asymmetric_alltoall_background_256mib_p16,mrc,29,7598.7
asymmetric_alltoall_background_256mib_p16,mrc,47,7465.52
healthy_alltoall_1024mib_p4,mrc,13,31859.6
healthy_alltoall_1024mib_p4,mrc,29,31092.6
healthy_alltoall_1024mib_p4,mrc,47,31915.7
healthy_alltoall_1024mib_p8,mrc,13,26948.1
healthy_alltoall_1024mib_p8,mrc,29,27839.5
healthy_alltoall_1024mib_p8,mrc,47,27446.9
healthy_alltoall_1024mib_p16,mrc,13,24298.9
healthy_alltoall_1024mib_p16,mrc,29,23954.6
healthy_alltoall_1024mib_p16,mrc,47,25018.9
asymmetric_alltoall_background_1024mib_p4,mrc,13,46488.6
asymmetric_alltoall_background_1024mib_p4,mrc,29,42446.4
asymmetric_alltoall_background_1024mib_p4,mrc,47,41691.4
asymmetric_alltoall_background_1024mib_p8,mrc,13,36842.8
asymmetric_alltoall_background_1024mib_p8,mrc,29,32628.7
asymmetric_alltoall_background_1024mib_p8,mrc,47,33054.0
asymmetric_alltoall_background_1024mib_p16,mrc,13,32103.7
asymmetric_alltoall_background_1024mib_p16,mrc,29,28756.4
asymmetric_alltoall_background_1024mib_p16,mrc,47,27981.6
