identity,experiment,scenario,family,scheme,seed,traffic,load_pct,parallel,active_evs,degraded,background,nodes,paths,connections,returncode,config_ok,parse_error,valid,runtime_s,traffic_sha256,sim_sha256,command_sha256,fingerprint
active_ev_count:exp3_asymmetric_websearch_40pct_k2:mrc:seed13,active_ev_count,exp3_asymmetric_websearch_40pct_k2,asymmetric_websearch,mrc,13,websearch,40,0,2,True,False,128,8,14748,0,1,,1,267.84669948300143,9b6775fe3d6129ade29794a72fc06ef31133b75b7a6c45d461364c3eacecaeca,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,3e3456e30e5b15ce39396e6212466020f1885f5f87d52eacfd992322d99b40c2,5d53ee7d3d40e54e2c1c864d1164f72e8a0c1d61ec6a09ca1044900312b5c455
active_ev_count:exp3_asymmetric_websearch_40pct_k2:mrc:seed29,active_ev_count,exp3_asymmetric_websearch_40pct_k2,asymmetric_websearch,mrc,29,websearch,40,0,2,True,False,128,8,14198,0,1,,1,253.80810889699933,5087f83602014cbabc5ac8a7f1ba7ab5dbaa26255c67bdfdb6dc2818389f6899,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,c91233feafacc90a886663486a018a90586d60de527450970a761be374238035,28c783eb130e773196c76b89976bc75441e44a67206c99547cb5534f93c8ac22
active_ev_count:exp3_asymmetric_websearch_40pct_k2:mrc:seed47,active_ev_count,exp3_asymmetric_websearch_40pct_k2,asymmetric_websearch,mrc,47,websearch,40,0,2,True,False,128,8,14511,0,1,,1,253.42038237300585,469bb3de688335bd6cf281bca6793febbbfddbdb672477a4587eb04a262464bf,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,c5ea9fa56843cfe2328e37c73581b28b9d306b8757dcf9b3e21448d38b1c859d,9138c4cb52593c146bffd48c0bcf263eef0d22c7b9a6f1081d362056f2a73575
active_ev_count:exp3_asymmetric_websearch_40pct_k2:rr:seed13,active_ev_count,exp3_asymmetric_websearch_40pct_k2,asymmetric_websearch,rr,13,websearch,40,0,2,True,False,128,8,14748,0,1,,1,174.6339776609966,9b6775fe3d6129ade29794a72fc06ef31133b75b7a6c45d461364c3eacecaeca,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,3b28b3bff8baedbabec5842c69aab7cf108bbc0407e661a5c8935193cfd118d5,e76dc8274b5fbc3a2f007e5d976ce0fb9a22417e440df9642e23e8e173751403
active_ev_count:exp3_asymmetric_websearch_40pct_k2:rr:seed29,active_ev_count,exp3_asymmetric_websearch_40pct_k2,asymmetric_websearch,rr,29,websearch,40,0,2,True,False,128,8,14198,0,1,,1,163.2952428589997,5087f83602014cbabc5ac8a7f1ba7ab5dbaa26255c67bdfdb6dc2818389f6899,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,489ac517b7da778f3cbf34ddf96c6a5311847f208fd476b3f346d78b860ce2e4,3a1b3ae9b80489d40157e8ee9155cac6e8dba27890acee52fa42e39a6c1f223f
active_ev_count:exp3_asymmetric_websearch_40pct_k2:rr:seed47,active_ev_count,exp3_asymmetric_websearch_40pct_k2,asymmetric_websearch,rr,47,websearch,40,0,2,True,False,128,8,14511,0,1,,1,186.2955066689974,469bb3de688335bd6cf281bca6793febbbfddbdb672477a4587eb04a262464bf,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,ae72a5807b264e6086c797931730fcc79139f7f5b143b816a2803f32afb29293,d8fd0b2fa7687a888df1a45cba1a8a821c43e76b2ecb866b9ee6a683cc1466b9
active_ev_count:exp3_asymmetric_websearch_40pct_k4:mrc:seed13,active_ev_count,exp3_asymmetric_websearch_40pct_k4,asymmetric_websearch,mrc,13,websearch,40,0,4,True,False,128,8,14748,0,1,,1,253.32994181800314,9b6775fe3d6129ade29794a72fc06ef31133b75b7a6c45d461364c3eacecaeca,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,14ddda763f8fd11d63f341462a93dab0817114f4e20f03fc07da3a55f52159ae,fe3309c4a7c67bffeeeff092e1fbbc2071fdce1ac04af1b98936754984dc041e
active_ev_count:exp3_asymmetric_websearch_40pct_k4:mrc:seed29,active_ev_count,exp3_asymmetric_websearch_40pct_k4,asymmetric_websearch,mrc,29,websearch,40,0,4,True,False,128,8,14198,0,1,,1,182.02424054699804,5087f83602014cbabc5ac8a7f1ba7ab5dbaa26255c67bdfdb6dc2818389f6899,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,1f2ce679d95e02eb550f8c8456e0395c638c26a93008e519218c9e7b1fab92f9,dd20dc528d5525e8294b4a233943e29a74d3cf10d200de828715481ec5053150
active_ev_count:exp3_asymmetric_websearch_40pct_k4:mrc:seed47,active_ev_count,exp3_asymmetric_websearch_40pct_k4,asymmetric_websearch,mrc,47,websearch,40,0,4,True,False,128,8,14511,0,1,,1,177.25346360300318,469bb3de688335bd6cf281bca6793febbbfddbdb672477a4587eb04a262464bf,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,eef4a02113767977299d21024d798335c8d52c85a8de0c44caaa838385af4066,1fcb64440d1f4584a4fb77f0ccfe2b6645483ca30b5d05124afd46acb0345f76
active_ev_count:exp3_asymmetric_websearch_40pct_k4:rr:seed13,active_ev_count,exp3_asymmetric_websearch_40pct_k4,asymmetric_websearch,rr,13,websearch,40,0,4,True,False,128,8,14748,0,1,,1,190.30747191700357,9b6775fe3d6129ade29794a72fc06ef31133b75b7a6c45d461364c3eacecaeca,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,3ac3cfe84c7c605593a170a4b2fcd92b091a1cb168769dbcc87a41704afde7fc,571adfb847308acb3fdb394b3743fda99b78bd1442f680fd1c8a5b06aa088a63
active_ev_count:exp3_asymmetric_websearch_40pct_k4:rr:seed29,active_ev_count,exp3_asymmetric_websearch_40pct_k4,asymmetric_websearch,rr,29,websearch,40,0,4,True,False,128,8,14198,0,1,,1,139.28303051100374,5087f83602014cbabc5ac8a7f1ba7ab5dbaa26255c67bdfdb6dc2818389f6899,49442a2573670bb21dd5d782d821b0bbecf09940c1813758f000c79a853964da,8e9b01a33f6e5ed264bf26e01309d7f6e59ad050d5d6ea5864eb441c7acce651,0bfa7de4cc8849f5c3698d78afe4dd22e1a75d8ebec6bcd60a3675579559d848
