flow_size,flow_size_kib,flow_count,fct_ratio_geomean,slowdown_gt_5pct_fraction,actionable_fraction,complete_sweep_fraction,coverage_mean,p99_treatment_fct_us
6144,6.0,90170,1.005265230235312,0.2576466674060109,0.0,0.0,0.25,70.57930000000047
13312,13.0,30114,1.0005549392493271,0.25539616125390185,0.0,0.0,0.5,78.1670000000002
19456,19.0,61144,0.9991254842530746,0.25794844956169044,0.0,0.0,0.625,80.64999999999964
33792,33.0,61266,0.9951472674920372,0.2577938824143897,0.0,1.0,1.0,87.09799999999987
54272,53.0,79426,0.9931401377185146,0.2564777276962204,0.0,1.0,1.0,92.48249999999985
136192,133.0,42716,0.9962233291577485,0.2610497237569061,0.0,1.0,1.0,116.7229999999997
683008,667.0,61234,0.9997320229398378,0.2648691903191038,0.5213933435672992,1.0,1.0,257.00670000000014
1364992,1333.0,61178,0.9984127826554993,0.27096341822223674,0.6544019091830396,1.0,1.0,791.1205999999996
3412992,3333.0,61294,0.9749857443585995,0.2656703755669397,0.7895226286422815,1.0,1.0,3053.0057
6827008,6667.0,42788,0.9559162246926887,0.247896606525194,0.8738898756660746,1.0,1.0,6105.171299999984
20480000,20000.0,11834,0.9635345840347744,0.18286293729930708,0.9744803109683962,1.0,1.0,10869.6494
30720000,30000.0,5812,0.9703874958463934,0.14848589125946318,0.9879559532002753,1.0,1.0,12281.959540000018
