experiment,family,load_pct,parallel,active_evs,scheme,flow_count,fct_ratio_geomean,slowdown_gt_1pct_fraction,slowdown_gt_5pct_fraction,slowdown_gt_10pct_fraction,actionable_fraction,complete_sweep_fraction,coverage_mean,p99_treatment_fct_us,cct_geomean_us,p99_fct_us,shared_updates_published,shared_updates_consumed,shared_updates_from_other_qps,redundant_discoveries,post_shared_bad_ev_sends,unused_active_evs_mean
flow_lifetime,asymmetric,40,0,8,mrc_vs_rr,43457,0.9936778023764354,0.29758151736199,0.11022389948684908,0.06169316795913202,0.18834710173274732,0.7020272913454679,0.8265900775479209,1237.3740000000003,,,,,,,,
flow_lifetime,asymmetric,60,0,8,mrc_vs_rr,65229,0.9776467828630836,0.3895966517959803,0.23406766928820003,0.15697005932943936,0.261187508623465,0.7027089178126293,0.8269768814484355,2106.1404,,,,,,,,
flow_lifetime,asymmetric,80,0,8,mrc_vs_rr,86948,0.9878035397843709,0.43882550489948013,0.31036941620278785,0.218429406081796,0.31141601876983943,0.7019942954409533,0.826459493030317,4012.4839999999886,,,,,,,,
flow_lifetime,asymmetric,100,0,8,mrc_vs_rr,108854,0.9864526139471744,0.4365572234368971,0.32763150642144523,0.23941242398074486,0.34655593731052603,0.701784041009058,0.8264119830231319,6866.6554000000015,,,,,,,,
flow_lifetime,healthy,40,0,8,mrc_vs_rr,43457,1.000332459430186,0.2725912971443036,0.08012518121361346,0.03932623052672757,0.1739880801712037,0.7020272913454679,0.8265900775479209,1224.4816000000005,,,,,,,,
flow_lifetime,healthy,60,0,8,mrc_vs_rr,65229,1.0005652747840732,0.39224884637201246,0.18871974121939628,0.10561253430222754,0.23503349737080134,0.7027089178126293,0.8269768814484355,2023.7969600000006,,,,,,,,
flow_lifetime,healthy,80,0,8,mrc_vs_rr,86948,0.9984079038010406,0.4329254266918158,0.2742673782030639,0.173413994571468,0.29237015227492297,0.7019942954409533,0.826459493030317,3793.257399999998,,,,,,,,
flow_lifetime,healthy,100,0,8,mrc_vs_rr,108854,0.99642216011405,0.44379627758281737,0.31581751704117444,0.21821889870836167,0.3370110423135576,0.701784041009058,0.8264119830231319,6594.994300000002,,,,,,,,
per_qp_sharing,asymmetric_alltoall,0,4,8,mrc,48768,,,,,,,,,1730.6154499343334,1203.159200000001,1501055,0,0,293079,11500694,
per_qp_sharing,asymmetric_alltoall,0,4,8,mrc-shared,48768,,,,,,,,,1916.1967273678258,1185.4721000000009,1485222,528709,528709,285465,0,
per_qp_sharing,asymmetric_alltoall,0,8,8,mrc,48768,,,,,,,,,2367.922558227385,1530.6096000000007,2119217,0,0,534037,10386628,
per_qp_sharing,asymmetric_alltoall,0,8,8,mrc-shared,48768,,,,,,,,,2323.223726075047,1515.3552000000004,2050021,993221,993221,517686,0,
per_qp_sharing,asymmetric_alltoall,0,16,8,mrc,48768,,,,,,,,,4499.036332916127,2967.595720000001,2767058,0,0,1041988,11083076,
per_qp_sharing,asymmetric_alltoall,0,16,8,mrc-shared,48768,,,,,,,,,4202.588336066861,2964.5131,2664851,2126559,2126559,1055535,0,
active_ev_count,asymmetric_websearch,40,0,2,mrc,43457,,,,,0.2825091469728697,1.0,1.0,,,1451.080800000002,,,,,,0.0
active_ev_count,asymmetric_websearch,40,0,2,rr,43457,,,,,0.0,1.0,1.0,,,1553.2607200000034,,,,,,0.0
active_ev_count,asymmetric_websearch,40,0,4,mrc,43457,,,,,0.2104148928826196,0.8519916239040891,0.9259958119520445,,,1258.482000000003,,,,,,0.2960167521918218
active_ev_count,asymmetric_websearch,40,0,4,rr,43457,,,,,0.0,0.8519916239040891,0.9259958119520445,,,1293.6472000000024,,,,,,0.2960167521918218
active_ev_count,asymmetric_websearch,40,0,8,mrc,43457,,,,,0.18834710173274732,0.7020272913454679,0.8265900775479209,,,1237.3740000000003,,,,,,1.3872793796166325
active_ev_count,asymmetric_websearch,40,0,8,rr,43457,,,,,0.0,0.7020272913454679,0.8265900775479209,,,1279.3552000000018,,,,,,1.3872793796166325
active_ev_count,asymmetric_websearch,80,0,2,mrc,86948,,,,,0.37231448681970836,1.0,1.0,,,4696.732699999997,,,,,,0.0
active_ev_count,asymmetric_websearch,80,0,2,rr,86948,,,,,0.0,1.0,1.0,,,5232.492199999999,,,,,,0.0
active_ev_count,asymmetric_websearch,80,0,4,mrc,86948,,,,,0.35280857524037357,0.851761972673322,0.9258809863366609,,,4127.654999999997,,,,,,0.296476054653356
active_ev_count,asymmetric_websearch,80,0,4,rr,86948,,,,,0.0,0.851761972673322,0.9258809863366609,,,4906.902479999995,,,,,,0.296476054653356
active_ev_count,asymmetric_websearch,80,0,8,mrc,86948,,,,,0.31141601876983943,0.7019942954409533,0.826459493030317,,,4012.4839999999886,,,,,,1.3883240557574643
active_ev_count,asymmetric_websearch,80,0,8,rr,86948,,,,,0.0,0.7019942954409533,0.826459493030317,,,4630.219349999999,,,,,,1.3883240557574643
