seed,flow_size,flow_size_kib,flow_count,mrc_sglb_ratio_geomean,mrc_rr_ratio_geomean,mrc_fct_p50_us,sglb_fct_p50_us,rr_fct_p50_us,mrc_fct_p99_us,sglb_fct_p99_us,rr_fct_p99_us,mrc_sglb_p99_ratio,mrc_rr_p99_ratio,quality_feedback_fraction,actionable_fraction,post_update_selection_fraction_mean,effective_updates_mean,ev_coverage_mean,complete_sweep_fraction
13,6144,6.0,1000,1.527787133080338,0.9851174325960393,20.055921499999997,11.086586000000025,21.07459800000001,45.694007739999975,32.906511999999985,45.50139997999993,1.3886007651008407,1.0042330073378996,0.788,0.0,0.0,1.474,0.25,0.0
13,13312,13.0,1000,1.7635632411666142,0.9547882073012245,23.88334949999998,11.501102000000003,24.846293500000016,50.40299089000002,37.026013079999984,52.50557843000005,1.361285936487333,0.9599549685410441,0.893,0.0,0.0,3.021,0.5,0.0
13,19456,19.0,1000,1.8033352860718341,0.9307101774898232,24.757164999999986,11.568555000000003,26.93503450000003,48.627037890000004,36.48023174000005,53.87768588,1.3329695446172607,0.9025450350318572,0.901,0.0,0.0,3.705,0.625,0.0
13,33792,33.0,1000,1.7102240421798878,0.8524441865918411,25.903657499999966,12.643031500000006,30.430334000000016,49.31248325999997,42.22236836000002,59.542313390000025,1.167923192738683,0.8281922628199708,0.902,0.0,0.0,4.437,1.0,1.0
13,54272,53.0,1000,1.713263029171977,0.8206676525002365,27.431924499999994,13.328247000000005,34.65047200000002,51.77527574000003,42.744912410000076,64.33961289,1.2112617109466184,0.8047184839069372,0.912,0.0,0.0,4.606,1.0,1.0
13,136192,133.0,1000,1.7301658719701944,0.8409120118773433,34.86222700000002,16.993608000000023,43.195186500000005,63.853137159999974,49.576066389999994,81.93366548999998,1.287983129958044,0.7793272372001135,0.911,0.0,0.0,7.416,1.0,1.0
13,683008,667.0,300,3.0316239116433863,0.5230105491594641,172.86020200000004,46.14366099999998,402.642442,458.82066081999994,126.1617309199999,700.97200195,3.636765740880185,0.6545491967491269,0.9433333333333334,0.92,0.4242914171656679,43.35,1.0,1.0
13,1364992,1333.0,300,4.447978153565746,0.7214211955597859,557.8187985,92.3830295,755.677557,835.92500144,441.66247034,1201.5997105,1.892678363177404,0.6956767666764514,0.9766666666666667,0.9766666666666667,0.7043113772455105,80.09333333333333,1.0,1.0
13,3412992,3333.0,100,2.734920849673778,0.8133464607096182,1049.7023285,389.059572,1288.5013065,1446.5810063800002,682.5482509100003,1924.6467729300002,2.119382775432156,0.7516085687649515,0.97,0.97,0.8634292565947251,133.74,1.0,1.0
13,6827008,6667.0,60,2.0767741019537054,0.8508196423067118,1423.0806160000002,677.9835090000001,1685.4804425000002,2217.56961209,1044.8904120899995,2647.66432691,2.122298746769431,0.8375569325580071,0.9666666666666667,0.95,0.8919616076784646,184.0,1.0,1.0
13,20480000,20000.0,30,1.9226517784875854,0.8896339607221235,2765.705013,1382.627276,3092.3936965000003,3776.04328103,1846.9344867700001,4263.978686199999,2.044492269800923,0.8855680478072838,1.0,1.0,0.9792800000000004,381.1666666666667,1.0,1.0
13,30720000,30000.0,20,1.6834356117651066,0.8942939309405946,2668.6441565,1673.8818959999999,2988.9991565,4033.6915549299997,1999.24068871,4533.80817792,2.0176117751648595,0.889691710949394,0.95,0.95,0.9386466666666667,362.8,1.0,1.0
29,6144,6.0,1000,1.5426797856945116,0.9907359332476477,20.400621500000028,11.037940500000047,21.166695500000003,42.342434689999955,36.52687520000007,42.53050716999996,1.1592131672407573,0.9955779394012808,0.806,0.0,0.0,1.509,0.25,0.0
29,13312,13.0,1000,1.8076535835883778,0.9749275420533606,24.1976095,11.518872500000015,24.336898500000018,52.04929432,36.67619077999999,52.94193308,1.4191575846089002,0.9831392866095172,0.883,0.0,0.0,2.98,0.5,0.0
29,19456,19.0,1000,1.7704384530319837,0.9258058385435448,24.887536499999996,11.92806250000001,27.79725400000001,48.03148300000002,33.66247626,55.60896532999994,1.426855310019906,0.8637363186847137,0.894,0.0,0.0,3.601,0.625,0.0
29,33792,33.0,1000,1.7136399469236114,0.8552838298969084,26.111798999999962,12.772568500000006,30.991927499999974,49.51427379999999,40.45912569000002,59.68215430999994,1.223809782232592,0.8296328169190051,0.909,0.0,0.0,4.437,1.0,1.0
29,54272,53.0,1000,1.6541757552803162,0.8206120852746278,27.617598500000014,13.831654499999956,34.918274500000024,52.95138897999997,43.99701745000005,68.57020284,1.203522239664905,0.7722215596117664,0.902,0.0,0.0,4.529,1.0,1.0
29,136192,133.0,1000,1.7269021924623653,0.856018242600101,36.43299149999997,17.568347999999986,44.19377650000001,67.19825843000001,57.19306446999993,79.06551861000001,1.1749371895476628,0.8499059970941737,0.911,0.0,0.0,7.573,1.0,1.0
29,683008,667.0,300,3.088493322628278,0.5198676148395915,176.418271,46.9453145,401.12036349999994,507.15787604999997,141.09677532999996,725.8417688,3.594397355034153,0.6987168524187581,0.9566666666666667,0.9333333333333333,0.42558882235528867,43.50666666666667,1.0,1.0
29,1364992,1333.0,300,4.588177592781821,0.7191169183651641,563.0810139999999,97.20172999999998,780.191431,866.0308599599997,412.47586860999985,1204.6378445999994,2.0995915782380976,0.7189138742752729,0.97,0.97,0.7016666666666683,80.72666666666667,1.0,1.0
29,3412992,3333.0,100,2.670016264692582,0.8112503677097838,1046.5341184999997,393.36406400000004,1298.1187180000002,1650.7823057800006,709.9521012200003,2107.1870882200005,2.3252023663895818,0.7834056667338742,1.0,1.0,0.8796163069544376,132.53,1.0,1.0
29,6827008,6667.0,60,2.0163668970594464,0.8559835330232138,1442.4467805,671.0286555,1736.1102735,2286.23418246,1101.8634674199998,2790.8835604799997,2.074879737880039,0.8191793505232422,0.9833333333333333,0.9833333333333333,0.9046790641871627,177.05,1.0,1.0
29,20480000,20000.0,30,1.6679117041208331,0.9000807394273029,2476.8895304999996,1463.9065249999999,2732.2845305,3422.40682113,2039.3431310300002,3913.39100587,1.6781907708691783,0.8745374065603119,0.9666666666666667,0.9666666666666667,0.9371933333333334,323.73333333333335,1.0,1.0
29,30720000,30000.0,20,1.681666563685043,0.8979235070045432,2877.5475269999997,1750.8491024999998,3184.612527,3663.4465242799997,2132.99004747,4119.4732865999995,1.7175169329202065,0.8892997403810378,1.0,1.0,0.9880866666666666,406.25,1.0,1.0
47,6144,6.0,1000,1.5488548124594113,0.9844723958032313,20.044126000000006,10.641691000000002,20.303990000000027,46.058263929999995,37.96339094,47.29580995999995,1.2132283968730218,0.9738339182467411,0.767,0.0,0.0,1.433,0.25,0.0
47,13312,13.0,1000,1.7928420346720624,0.9612442709991852,23.933813499999985,11.364427000000006,24.58635050000001,48.636530690000015,36.89062451000002,54.88038308999999,1.3183981387145127,0.8862279734862548,0.886,0.0,0.0,2.956,0.5,0.0
47,19456,19.0,1000,1.7956419739313325,0.9364050550049918,25.045738000000014,11.644273500000011,27.02364750000001,48.838095109999976,37.24363262000002,54.36964977999997,1.3113139528654267,0.8982602482748603,0.898,0.0,0.0,3.65,0.625,0.0
47,33792,33.0,1000,1.7061085998477235,0.8705526526023946,25.54915699999998,12.390517500000016,30.5711,47.73326224999996,37.178650659999995,59.90100201,1.2838890439172266,0.7968691782823811,0.903,0.0,0.0,4.393,1.0,1.0
47,54272,53.0,1000,1.704378483892607,0.8253419995776041,27.881453999999962,13.550175499999995,35.047414499999974,55.77224123999996,39.87340190000002,70.60423632999999,1.3987329543607347,0.7899276890316301,0.909,0.0,0.0,4.583,1.0,1.0
47,136192,133.0,1000,1.7290916430119707,0.8548085397173523,35.83150450000002,17.093638999999996,43.68023050000001,67.87661333000001,57.776003169999974,81.72736374,1.1748236223658468,0.830524933435226,0.924,0.0,0.0,7.52,1.0,1.0
47,683008,667.0,300,2.905283117511675,0.5621268778447357,164.1035335,44.346519,403.125039,488.3651953599999,197.91066855,731.7033026599997,2.467604192022724,0.6674360954564782,0.8966666666666666,0.87,0.3973253493013965,40.95,1.0,1.0
47,1364992,1333.0,300,3.959772296435179,0.7310458983872367,533.056023,90.91178249999996,728.1593805,830.15339692,437.5113416199997,1151.1033761,1.8974442898923278,0.7211805769631258,0.9466666666666667,0.9433333333333334,0.6702395209580859,74.43666666666667,1.0,1.0
47,3412992,3333.0,100,2.705094152953192,0.8169135893272595,1049.794254,379.9871705,1270.561483,1456.71857241,712.3810524100003,1784.2708200400011,2.044858671467875,0.8164223480252523,0.98,0.98,0.8646402877697851,131.97,1.0,1.0
