flow_size,flow_size_kib,flow_count,mrc_sglb_ratio_geomean,mrc_rr_ratio_geomean,mrc_fct_p50_us,sglb_fct_p50_us,rr_fct_p50_us,mrc_fct_p99_us,sglb_fct_p99_us,rr_fct_p99_us,mrc_sglb_p99_ratio,mrc_rr_p99_ratio,quality_feedback_fraction,actionable_fraction,post_update_selection_fraction_mean,effective_updates_mean,ev_coverage_mean,complete_sweep_fraction,mrc_sglb_seed_min,mrc_sglb_seed_max,mrc_sglb_improving_seeds,mrc_rr_seed_min,mrc_rr_seed_max,mrc_rr_improving_seeds
6144,6.0,3000,1.5397484732944422,0.9867712496005115,20.172751500000004,10.922943000000004,20.765287,45.35209127999999,33.632715339999905,46.397130389999994,1.3484516733640608,0.9774762124033162,0.787,0.0,0.0,1.472,0.25,0.0,1.527787133080338,1.5488548124594113,0,0.9844723958032313,0.9907359332476477,3
13312,13.0,3000,1.7879255207355775,0.9636168453048449,23.99318600000001,11.479291000000018,24.64386300000001,50.39455451999993,37.01532220999999,53.878649579999994,1.36145119132275,0.9353344026407563,0.8873333333333333,0.0,0.0,2.9856666666666665,0.5,0.0,1.7635632411666142,1.8076535835883778,0,0.9547882073012245,0.9749275420533606,3
19456,19.0,3000,1.789749930968349,0.9309636183514309,24.900868999999986,11.696409000000017,27.42767150000006,48.46495946000001,36.878495879999925,55.12042954999998,1.3141793965161062,0.8792558377295887,0.8976666666666666,0.0,0.0,3.652,0.625,0.0,1.7704384530319837,1.8033352860718341,0,0.9258058385435448,0.9364050550049918,3
33792,33.0,3000,1.7099880904481726,0.859390244206304,25.886305999999976,12.568735500000003,30.677627,49.514273799999984,40.68427122999987,59.717645859999955,1.2170372555054894,0.8291397473383258,0.9046666666666666,0.0,0.0,4.4223333333333334,1.0,1.0,1.7061085998477235,1.7136399469236114,0,0.8524441865918411,0.8705526526023946,3
54272,53.0,3000,1.6904042625464906,0.8222042613596822,27.658365499999988,13.598303500000014,34.89276500000001,53.57549133999994,42.51337423999998,68.2438507799999,1.2602032254026978,0.785059616766251,0.9076666666666666,0.0,0.0,4.572666666666667,1.0,1.0,1.6541757552803162,1.713263029171977,0,0.8206120852746278,0.8253419995776041,3
136192,133.0,3000,1.7287193689248006,0.8505518811884782,35.78822599999992,17.250801499999966,43.65339449999999,67.2422852,55.306135289999844,81.72081188999998,1.2158196346103827,0.8228293826854198,0.9153333333333333,0.0,0.0,7.503,1.0,1.0,1.7269021924623653,1.7301658719701944,0,0.8409120118773433,0.856018242600101,3
683008,667.0,900,3.007485095049661,0.5346618391977855,172.096659,45.874852499999974,402.45587450000005,495.8673393,141.09677532999996,719.90449646,3.5143775478940293,0.6887960024396818,0.9322222222222222,0.9077777777777778,0.4157351962741211,42.602222222222224,1.0,1.0,2.905283117511675,3.088493322628278,0,0.5198676148395915,0.5621268778447357,3
1364992,1333.0,900,4.323389458882502,0.7238429513338784,550.6636515,94.0746025,754.5455300000001,838.9382770000001,434.7080208499999,1201.5997105,1.9298891135240488,0.6981844866215122,0.9644444444444444,0.9633333333333334,0.6920725216234226,78.41888888888889,1.0,1.0,3.959772296435179,4.588177592781821,0,0.7191169183651641,0.7310458983872367,3
3412992,3333.0,300,2.703213524277987,0.8138334499652409,1047.2128109999999,386.90298300000006,1287.4311659999998,1481.33422347,711.96153107,1941.76848435,2.0806380103763717,0.7628789093082182,0.9833333333333333,0.9833333333333333,0.8692286171063129,132.74666666666667,1.0,1.0,2.670016264692582,2.734920849673778,0,0.8112503677097838,0.8169135893272595,3
6827008,6667.0,180,2.0647566255236303,0.8535412373417723,1438.3893685,698.8361005,1708.6419935,2254.42268083,1082.6673648900005,2738.0498808300003,2.0822856160063994,0.8233680096969614,0.9833333333333333,0.9777777777777777,0.9104179164167152,183.1888888888889,1.0,1.0,2.0163668970594464,2.1020729653831,0,0.8508196423067118,0.8559835330232138,3
20480000,20000.0,90,1.7646552830290698,0.8936487354297561,2476.8895304999996,1390.1020465,2745.1221965,3775.33864523,1937.4380173299999,4262.1830542,1.9486242199545702,0.885775809537261,0.9888888888888889,0.9888888888888889,0.964008888888888,345.8222222222222,1.0,1.0,1.6679117041208331,1.9226517784875854,0,0.8896339607221235,0.9000807394273029,3
30720000,30000.0,60,1.6291201095693595,0.9000985009939896,2783.440392,1782.456095,3096.0478635,4007.7086799299996,2239.929378079999,4519.06080512,1.7892120703221852,0.8868454868740316,0.9833333333333333,0.9833333333333333,0.9694066666666672,385.01666666666665,1.0,1.0,1.5272949450029625,1.6834356117651066,0,0.8942939309405946,0.9081351603544399,3
