seed,flow_size,flow_size_kib,flow_count,fct_ratio_geomean,mrc_fct_p50_us,sglb_fct_p50_us,mrc_fct_p99_us,sglb_fct_p99_us,actionable_fraction,quality_feedback_fraction,effective_updates_mean,new_selections_after_update_mean,ev_coverage_mean,complete_sweep_fraction
13,6144,6.0,1000,1.8493996696860968,17.804220999999984,9.514412499999992,41.64755767,11.48560116000001,0.0,0.734,1.362,0.0,0.25,0.0
13,13312,13.0,1000,2.067311911340692,22.14527400000003,10.21066350000001,43.57940443999996,11.732795630000048,0.0,0.833,2.608,0.0,0.5,0.0
13,19456,19.0,1000,2.031537015807057,22.396653500000042,10.358379,42.129582770000006,12.146705689999953,0.0,0.831,3.129,0.0,0.625,0.0
13,33792,33.0,1000,1.9977447424898462,23.80931300000003,10.857527500000003,41.972363030000025,12.560235070000024,0.0,0.855,3.947,0.0,1.0,1.0
13,54272,53.0,1000,2.011702436727948,27.0446905,11.463031499999985,44.90657637999996,13.45138504999997,0.0,0.873,4.294,0.0,1.0,1.0
13,136192,133.0,1000,2.119154764727907,33.834306999999995,13.320050500000008,56.58624585999994,16.016579260000054,0.0,0.891,7.196,0.0,1.0,1.0
29,6144,6.0,1000,1.8544300620418972,17.686549999999997,9.371237999999998,39.588611450000016,11.235698249999977,0.0,0.732,1.287,0.0,0.25,0.0
29,13312,13.0,1000,2.0339660700836752,22.013319500000023,10.23404450000001,42.26697586000003,11.689003780000009,0.0,0.838,2.598,0.0,0.5,0.0
29,19456,19.0,1000,2.021685088959625,22.574051999999995,10.363803000000019,42.55668614000002,11.841885019999998,0.0,0.835,3.12,0.0,0.625,0.0
29,33792,33.0,1000,2.025975688648899,23.86717550000003,10.85536350000001,42.20724820999999,12.685019619999993,0.0,0.871,4.019,0.0,1.0,1.0
29,54272,53.0,1000,1.9855499164548063,26.042163500000015,11.45551549999999,46.248852600000006,13.274961609999986,0.0,0.87,4.221,0.0,1.0,1.0
29,136192,133.0,1000,2.1669997906492524,34.4186005,13.272100999999992,56.89731306000004,15.869390819999985,0.0,0.897,7.304,0.0,1.0,1.0
47,6144,6.0,1000,1.9275440533736308,19.21193550000001,9.535488499999985,40.452699430000024,11.405628820000096,0.0,0.761,1.357,0.0,0.25,0.0
47,13312,13.0,1000,2.102090531962927,22.203531500000025,10.234392999999983,40.72769322999996,11.723504530000017,0.0,0.861,2.695,0.0,0.5,0.0
47,19456,19.0,1000,2.1379821603547344,22.815946000000025,10.405947499999968,42.46103343999998,11.80149938000005,0.0,0.882,3.308,0.0,0.625,0.0
47,33792,33.0,1000,2.025919767204332,23.87297650000002,10.885452999999998,41.53024973999999,12.559792160000013,0.0,0.878,4.094,0.0,1.0,1.0
47,54272,53.0,1000,2.091100491864019,27.6304035,11.46451199999997,46.94233450999999,13.245656369999956,0.0,0.888,4.415,0.0,1.0,1.0
47,136192,133.0,1000,2.1832525289070452,34.106549,13.29768299999995,55.008667839999966,16.00944722999999,0.0,0.918,7.438,0.0,1.0,1.0
