figure,panel,scenario,column_key,column_label,family,traffic,size_mib,websearch_load_pct,parallel,degraded,periodic_background,scheme,metric,geomean_us,baseline_us,ratio,seed_count,baseline_schemes
p2p,Healthy,healthy_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",healthy_p2p,permutation,4,0,0,0,0,ecmp,p99_fct_us,380.88980520299526,96.71503919237874,3.9382686331270165,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",healthy_p2p,permutation,4,0,0,0,0,ops,p99_fct_us,201.25400661840408,96.71503919237874,2.0808967074715627,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",healthy_p2p,permutation,4,0,0,0,0,reps,p99_fct_us,125.67514665098757,96.71503919237874,1.299437478394683,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",healthy_p2p,permutation,4,0,0,0,0,mrc,p99_fct_us,96.71503919237874,96.71503919237874,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",healthy_p2p,permutation,4,0,0,0,0,sglb,p99_fct_us,103.94573427707499,96.71503919237874,1.0747628822267596,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_4mib,permutation_4mib,"Permutation
4 MiB",healthy_p2p,permutation,4,0,0,0,0,n-mrc,p99_fct_us,96.73117870493788,96.71503919237874,1.000166876968607,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",healthy_p2p,permutation,8,0,0,0,0,ecmp,p99_fct_us,723.9384377654334,183.22242537649623,3.951145370321575,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",healthy_p2p,permutation,8,0,0,0,0,ops,p99_fct_us,389.1816064331324,183.22242537649623,2.124093738162341,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",healthy_p2p,permutation,8,0,0,0,0,reps,p99_fct_us,238.9150652775251,183.22242537649623,1.3039619183437199,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",healthy_p2p,permutation,8,0,0,0,0,mrc,p99_fct_us,183.22242537649623,183.22242537649623,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",healthy_p2p,permutation,8,0,0,0,0,sglb,p99_fct_us,198.71678221522959,183.22242537649623,1.084565831976597,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_8mib,permutation_8mib,"Permutation
8 MiB",healthy_p2p,permutation,8,0,0,0,0,n-mrc,p99_fct_us,183.23880460483042,183.22242537649623,1.000089395325384,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",healthy_p2p,permutation,16,0,0,0,0,ecmp,p99_fct_us,1440.332591671946,356.23742762212373,4.043181541271874,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",healthy_p2p,permutation,16,0,0,0,0,ops,p99_fct_us,742.4522540997232,356.23742762212373,2.084150054236508,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",healthy_p2p,permutation,16,0,0,0,0,reps,p99_fct_us,459.42086535029415,356.23742762212373,1.2896479418710083,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",healthy_p2p,permutation,16,0,0,0,0,mrc,p99_fct_us,356.23742762212373,356.23742762212373,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",healthy_p2p,permutation,16,0,0,0,0,sglb,p99_fct_us,392.158899688669,356.23742762212373,1.1008357608753248,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_permutation_16mib,permutation_16mib,"Permutation
16 MiB",healthy_p2p,permutation,16,0,0,0,0,n-mrc,p99_fct_us,356.2538088435629,356.23742762212373,1.0000459839987856,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",healthy_p2p,tornado,4,0,0,0,0,ecmp,p99_fct_us,345.4462730252927,96.14428675401646,3.5929984473139958,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",healthy_p2p,tornado,4,0,0,0,0,ops,p99_fct_us,198.2258024656025,96.14428675401646,2.061753320535414,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",healthy_p2p,tornado,4,0,0,0,0,reps,p99_fct_us,120.37082478810575,96.14428675401646,1.251981046945332,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",healthy_p2p,tornado,4,0,0,0,0,mrc,p99_fct_us,96.14428675401646,96.14428675401646,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",healthy_p2p,tornado,4,0,0,0,0,sglb,p99_fct_us,101.48648534520738,96.14428675401646,1.0555643894354205,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_4mib,tornado_4mib,"Tornado
4 MiB",healthy_p2p,tornado,4,0,0,0,0,n-mrc,p99_fct_us,96.14820527878297,96.14428675401646,1.0000407567095124,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,ecmp,p99_fct_us,681.1141824758388,182.6519190102882,3.7290283407177003,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,ops,p99_fct_us,379.38601244741136,182.6519190102882,2.07709842033492,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,reps,p99_fct_us,225.45381570770888,182.6519190102882,1.2343358719106028,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_tornado_8mib,tornado_8mib,"Tornado
8 MiB",healthy_p2p,tornado,8,0,0,0,0,mrc,p99_fct_us,182.6519190102882,182.6519190102882,1.0,3,ops;reps;mrc;sglb;ecmp
