panel,metric,scheme,permutation_4mib,permutation_8mib,permutation_16mib,tornado_4mib,tornado_8mib,tornado_16mib,websearch_40pct,websearch_60pct,websearch_80pct,websearch_100pct
Healthy,p99_fct_us,ecmp,3.9382686331270165,3.951145370321575,4.043181541271874,3.5929984473139958,3.7290283407177003,3.8161831411569493,1.4345120520238799,1.5108503160632365,1.3231212193508184,1.126664114919937
Healthy,p99_fct_us,ops,2.0808967074715627,2.124093738162341,2.084150054236508,2.061753320535414,2.07709842033492,2.0282498498231822,1.0304303672267054,1.0799767002223104,1.087841843711016,1.0389917046724737
Healthy,p99_fct_us,reps,1.299437478394683,1.3039619183437199,1.2896479418710083,1.251981046945332,1.2343358719106028,1.2027002263013264,1.0016406464651226,1.0270321362659307,1.0,1.0
Healthy,p99_fct_us,mrc,1.0,1.0,1.0,1.0,1.0,1.0,1.0009217062375977,1.0,1.006168721744325,1.0019530517120308
Healthy,p99_fct_us,sglb,1.0747628822267596,1.084565831976597,1.1008357608753248,1.0555643894354205,1.044470525398665,1.0315319118716924,1.0,1.0101477004396706,1.0094482227029127,1.0027073884665993
Healthy,p99_fct_us,n-mrc,1.000166876968607,1.000089395325384,1.0000459839987856,1.0000407567095124,1.0000219229528902,1.0000107557161975,0.996022781750525,1.0112151255712551,1.0501168536330083,1.2112516258557358
Asymmetric,p99_fct_us,ops,2.1332961039594855,2.2100200519370907,2.2091867561037564,2.2630430905429524,2.3897926035571895,2.3932805982438503,1.0752944027591904,1.2156253378437145,1.3129734771034614,1.1712917478155551
Asymmetric,p99_fct_us,reps,1.162563950848717,1.1709486567217062,1.1423920350392807,1.1494063101092111,1.1623244039091523,1.1573973170836322,1.0018306562793444,1.00801317684006,1.0,1.0
Asymmetric,p99_fct_us,mrc,1.1474913216401958,1.2078004499034358,1.260544176043803,1.1652961837962743,1.231337115372702,1.3285388450390598,1.006325897936602,1.0243804545488229,1.0190512949000172,1.0138246144122558
Asymmetric,p99_fct_us,sglb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0018233081913208,1.0182937667586751
Asymmetric,p99_fct_us,n-mrc,0.9467012364951082,0.9429524835703701,0.9785897379388458,0.9592574720340902,0.9664199869072393,0.9789032911696113,1.0006301152827242,1.002257891379733,1.061268656322959,1.220953921232841
