plot_key,scenario,cohort,size_mib,parallel,scheme,baseline,absolute_cct_us,absolute_cct_ms,normalized_cct,seed_values_us
asymmetric:1024:16:mrc,asymmetric_alltoall_background_1024mib_p16,asymmetric,1024,16,mrc,mrc,29333.2908036,29.3332908036,1,13:31364.8;29:28667.9;47:28070.1
asymmetric:1024:16:n-mrc,asymmetric_alltoall_background_1024mib_p16,asymmetric,1024,16,n-mrc,mrc,29659.0107053,29.6590107053,1.01110410365,13:30480.7;29:29407.9;47:29105.9
asymmetric:1024:16:ops,asymmetric_alltoall_background_1024mib_p16,asymmetric,1024,16,ops,mrc,38081.9196541,38.0819196541,1.29824914323,13:41785.1;29:36319.8;47:36390.8
asymmetric:1024:16:reps,asymmetric_alltoall_background_1024mib_p16,asymmetric,1024,16,reps,mrc,26534.0813493,26.5340813493,0.904572266609,13:28000.8;29:25754.3;47:25905.5
asymmetric:1024:16:sglb,asymmetric_alltoall_background_1024mib_p16,asymmetric,1024,16,sglb,mrc,26491.4101047,26.4914101047,0.903117562976,13:27243.2;29:26331;47:25917.3
asymmetric:1024:4:mrc,asymmetric_alltoall_background_1024mib_p4,asymmetric,1024,4,mrc,mrc,41637.8933457,41.6378933457,1,13:44312.7;29:38979.9;47:41792.4
asymmetric:1024:4:n-mrc,asymmetric_alltoall_background_1024mib_p4,asymmetric,1024,4,n-mrc,mrc,37808.7131022,37.8087131022,0.908036167638,13:39118.6;29:36049;47:38326.5
asymmetric:1024:4:ops,asymmetric_alltoall_background_1024mib_p4,asymmetric,1024,4,ops,mrc,47168.6186085,47.1686186085,1.13282913275,13:51393;29:45890.4;47:44497.3
asymmetric:1024:4:reps,asymmetric_alltoall_background_1024mib_p4,asymmetric,1024,4,reps,mrc,35679.0241106,35.6790241106,0.856888311191,13:35054.1;29:34836.1;47:37193.8
asymmetric:1024:4:sglb,asymmetric_alltoall_background_1024mib_p4,asymmetric,1024,4,sglb,mrc,39996.4918377,39.9964918377,0.96057914135,13:39973.2;29:43751.1;47:36585.4
asymmetric:1024:8:mrc,asymmetric_alltoall_background_1024mib_p8,asymmetric,1024,8,mrc,mrc,33797.203868,33.797203868,1,13:35848.1;29:32848;47:32784.4
asymmetric:1024:8:n-mrc,asymmetric_alltoall_background_1024mib_p8,asymmetric,1024,8,n-mrc,mrc,31191.3674617,31.1913674617,0.922897869997,13:31816.7;29:30922.4;47:30844.3
asymmetric:1024:8:ops,asymmetric_alltoall_background_1024mib_p8,asymmetric,1024,8,ops,mrc,43107.756995,43.107756995,1.27548294123,13:45739.2;29:41708.9;47:41990.3
asymmetric:1024:8:reps,asymmetric_alltoall_background_1024mib_p8,asymmetric,1024,8,reps,mrc,30415.2010093,30.4152010093,0.899932465657,13:30927.8;29:29803.8;47:30524.7
asymmetric:1024:8:sglb,asymmetric_alltoall_background_1024mib_p8,asymmetric,1024,8,sglb,mrc,30284.763888,30.284763888,0.896073059955,13:31460.3;29:31038.5;47:28445.2
asymmetric:256:16:mrc,asymmetric_alltoall_background_256mib_p16,asymmetric,256,16,mrc,mrc,7845.71301706,7.84571301706,1,13:8424.16;29:7757.81;47:7389.78
asymmetric:256:16:n-mrc,asymmetric_alltoall_background_256mib_p16,asymmetric,256,16,n-mrc,mrc,7691.99962054,7.69199962054,0.980407976154,13:7955.03;29:7519.38;47:7608.41
asymmetric:256:16:ops,asymmetric_alltoall_background_256mib_p16,asymmetric,256,16,ops,mrc,9126.7147154,9.1267147154,1.16327409575,13:10272.7;29:8551.72;47:8653.77
asymmetric:256:16:reps,asymmetric_alltoall_background_256mib_p16,asymmetric,256,16,reps,mrc,7888.04707986,7.88804707986,1.00539582097,13:8026.39;29:7813.38;47:7826.17
asymmetric:256:16:sglb,asymmetric_alltoall_background_256mib_p16,asymmetric,256,16,sglb,mrc,7631.89743998,7.63189743998,0.972747463919,13:7668.38;29:7673.61;47:7554.3
asymmetric:256:4:mrc,asymmetric_alltoall_background_256mib_p4,asymmetric,256,4,mrc,mrc,11006.0075824,11.0060075824,1,13:12376.9;29:10061.4;47:10705.8
asymmetric:256:4:n-mrc,asymmetric_alltoall_background_256mib_p4,asymmetric,256,4,n-mrc,mrc,11255.7575681,11.2557575681,1.02269215098,13:12711.6;29:10507.1;47:10676.8
asymmetric:256:4:ops,asymmetric_alltoall_background_256mib_p4,asymmetric,256,4,ops,mrc,11823.6952516,11.8236952516,1.07429466709,13:12931.6;29:10900.5;47:11726.3
