metric,panel,scenario,scheme,baseline,geomean_us,baseline_geomean_us,speedup,seed_values_us
mean_fct_us,healthy_speedup,healthy_p2p_permutation_4mib,ecmp,ecmp,187.16683272094397,187.16683272094397,1.0,13:177.756037500;29:180.694413281;47:204.135053906
mean_fct_us,healthy_speedup,healthy_p2p_permutation_8mib,ecmp,ecmp,364.1714137527707,364.1714137527707,1.0,13:347.120710937;29:351.351851563;47:395.999632813
mean_fct_us,healthy_speedup,healthy_p2p_permutation_16mib,ecmp,ecmp,715.1642367839797,715.1642367839797,1.0,13:683.059195312;29:690.380429687;47:775.658492187
mean_fct_us,healthy_speedup,healthy_p2p_tornado_4mib,ecmp,ecmp,165.0979234285395,165.0979234285395,1.0,13:157.804519531;29:158.215114063;47:180.242592969
mean_fct_us,healthy_speedup,healthy_p2p_tornado_8mib,ecmp,ecmp,322.3810015928449,322.3810015928449,1.0,13:307.463132813;29:308.929265625;47:352.741226562
mean_fct_us,healthy_speedup,healthy_p2p_tornado_16mib,ecmp,ecmp,637.7826917909957,637.7826917909957,1.0,13:608.860109375;29:609.476203125;47:699.107421875
mean_fct_us,healthy_speedup,healthy_p2p_permutation_4mib,ops,ecmp,128.40019506521483,187.16683272094397,1.4576833985795847,13:125.686671094;29:125.781947656;47:133.902754687
mean_fct_us,healthy_speedup,healthy_p2p_permutation_8mib,ops,ecmp,245.82844412262972,364.1714137527707,1.481404705027163,13:240.144453125;29:241.857398437;47:255.778750000
mean_fct_us,healthy_speedup,healthy_p2p_permutation_16mib,ops,ecmp,479.4872939925138,715.1642367839797,1.4915186403148892,13:465.597296875;29:473.573765625;47:499.957656250
mean_fct_us,healthy_speedup,healthy_p2p_tornado_4mib,ops,ecmp,128.8343023579615,165.0979234285395,1.2814748898924515,13:124.773640625;29:130.494110938;47:131.335088281
mean_fct_us,healthy_speedup,healthy_p2p_tornado_8mib,ops,ecmp,248.34002701040552,322.3810015928449,1.298143539218255,13:239.871687500;29:250.447218750;47:254.944101562
mean_fct_us,healthy_speedup,healthy_p2p_tornado_16mib,ops,ecmp,480.9460292569442,637.7826917909957,1.326100337654024,13:468.095234375;29:483.807398438;47:491.227085937
mean_fct_us,healthy_speedup,healthy_p2p_permutation_4mib,reps,ecmp,107.42936363770954,187.16683272094397,1.7422316058032128,13:106.552431250;29:107.221317969;47:108.523678125
mean_fct_us,healthy_speedup,healthy_p2p_permutation_8mib,reps,ecmp,202.75844363327792,364.1714137527707,1.7960850716108019,13:201.213046875;29:202.087250000;47:204.994304687
mean_fct_us,healthy_speedup,healthy_p2p_permutation_16mib,reps,ecmp,387.5232954339077,715.1642367839797,1.8454741823539,13:384.789273438;29:386.005859375;47:391.810968750
mean_fct_us,healthy_speedup,healthy_p2p_tornado_4mib,reps,ecmp,106.1436261782087,165.0979234285395,1.555420041438476,13:105.457233594;29:106.743910937;47:106.233692188
mean_fct_us,healthy_speedup,healthy_p2p_tornado_8mib,reps,ecmp,199.54649140164446,322.3810015928449,1.6155683787191266,13:198.125859375;29:200.731804687;47:199.790546875
mean_fct_us,healthy_speedup,healthy_p2p_tornado_16mib,reps,ecmp,380.1628642479041,637.7826917909957,1.677656477711873,13:377.666132812;29:381.985960938;47:380.849710937
mean_fct_us,healthy_speedup,healthy_p2p_permutation_4mib,mrc,ecmp,95.84541313719488,187.16683272094397,1.9527990604310916,13:95.702309375;29:95.699467969;47:96.135117187
mean_fct_us,healthy_speedup,healthy_p2p_permutation_8mib,mrc,ecmp,182.35303621227976,364.1714137527707,1.997068002360178,13:182.209804687;29:182.207015625;47:182.642632813
mean_fct_us,healthy_speedup,healthy_p2p_permutation_16mib,mrc,ecmp,355.3681389685807,715.1642367839797,2.012460202143248,13:355.224835938;29:355.222054687;47:355.657703125
mean_fct_us,healthy_speedup,healthy_p2p_tornado_4mib,mrc,ecmp,95.76962544038001,165.0979234285395,1.7239069555651423,13:95.779069531;29:95.770475781;47:95.759332031
mean_fct_us,healthy_speedup,healthy_p2p_tornado_8mib,mrc,ecmp,182.2771612795673,322.3810015928449,1.7686308000945523,13:182.286593750;29:182.278015625;47:182.266875000
mean_fct_us,healthy_speedup,healthy_p2p_tornado_16mib,mrc,ecmp,355.2921978247963,637.7826917909957,1.795093434912699,13:355.301632812;29:355.293062500;47:355.281898437
mean_fct_us,healthy_speedup,healthy_p2p_permutation_4mib,sglb,ecmp,100.6293543491899,187.16683272094397,1.8599625718700712,13:99.952354688;29:100.140296094;47:101.805714844
mean_fct_us,healthy_speedup,healthy_p2p_permutation_8mib,sglb,ecmp,190.96304512226843,364.1714137527707,1.9070255897920025,13:189.908960937;29:190.215757812;47:192.777367187
mean_fct_us,healthy_speedup,healthy_p2p_permutation_16mib,sglb,ecmp,371.9573449938737,715.1642367839797,1.922704972517101,13:369.231609375;29:370.755546875;47:375.917796875
mean_fct_us,healthy_speedup,healthy_p2p_tornado_4mib,sglb,ecmp,100.50525837754016,165.0979234285395,1.6426794587041609,13:100.574962500;29:100.509503125;47:100.431360938
mean_fct_us,healthy_speedup,healthy_p2p_tornado_8mib,sglb,ecmp,189.27269963855116,322.3810015928449,1.7032620246263035,13:189.325031250;29:189.373820313;47:189.119343750
mean_fct_us,healthy_speedup,healthy_p2p_tornado_16mib,sglb,ecmp,363.3691302186768,637.7826917909957,1.7551922790116374,13:363.412406250;29:363.412781250;47:363.282218750
mean_fct_us,healthy_speedup,healthy_p2p_permutation_4mib,n-mrc,ecmp,95.85774527262589,187.16683272094397,1.9525478320883605,13:95.697653125;29:95.754798438;47:96.121335156
mean_fct_us,healthy_speedup,healthy_p2p_permutation_8mib,n-mrc,ecmp,182.36534878360968,364.1714137527707,1.9969331683997036,13:182.205203125;29:182.262328125;47:182.628804688
mean_fct_us,healthy_speedup,healthy_p2p_permutation_16mib,n-mrc,ecmp,355.38045043701226,715.1642367839797,2.0123904843514615,13:355.220226562;29:355.277367187;47:355.643906250
mean_fct_us,healthy_speedup,healthy_p2p_tornado_4mib,n-mrc,ecmp,95.82664365037088,165.0979234285395,1.7228812065140144,13:95.859098437;29:95.849917969;47:95.770939063
mean_fct_us,healthy_speedup,healthy_p2p_tornado_8mib,n-mrc,ecmp,182.33417539052436,322.3810015928449,1.7680777665644274,13:182.366640625;29:182.357445312;47:182.278453125
mean_fct_us,healthy_speedup,healthy_p2p_tornado_16mib,n-mrc,ecmp,355.349200920919,637.7826917909957,1.7948054762417511,13:355.381656250;29:355.372468750;47:355.293484375
mean_fct_us,healthy_websearch,healthy_p2p_websearch_40pct,ecmp,,118.25734384020308,,,13:125.784987389;29:115.609941199;47:113.726158506
mean_fct_us,healthy_websearch,healthy_p2p_websearch_60pct,ecmp,,188.3555244845089,,,13:206.383664282;29:180.624003528;47:179.260376704
mean_fct_us,healthy_websearch,healthy_p2p_websearch_80pct,ecmp,,309.70099909830594,,,13:329.023623868;29:302.067975928;47:298.879447904
mean_fct_us,healthy_websearch,healthy_p2p_websearch_100pct,ecmp,,481.90216583758513,,,13:517.693308751;29:468.839268999;47:461.084053711
mean_fct_us,healthy_websearch,healthy_p2p_websearch_40pct,ops,,92.44784321655818,,,13:97.666204348;29:90.538575225;47:89.353668013
mean_fct_us,healthy_websearch,healthy_p2p_websearch_60pct,ops,,143.79632362378746,,,13:157.143452983;29:137.763039074;47:137.345470565
mean_fct_us,healthy_websearch,healthy_p2p_websearch_80pct,ops,,248.4151783079907,,,13:269.640733734;29:239.742693281;47:237.139283699
mean_fct_us,healthy_websearch,healthy_p2p_websearch_100pct,ops,,415.83895490708,,,13:449.781072900;29:403.362831442;47:396.349631786
mean_fct_us,healthy_websearch,healthy_p2p_websearch_40pct,reps,,91.54521748057054,,,13:96.942932250;29:89.424010350;47:88.498658586
mean_fct_us,healthy_websearch,healthy_p2p_websearch_60pct,reps,,140.10841118536428,,,13:153.132999294;29:133.693834316;47:134.342200288
mean_fct_us,healthy_websearch,healthy_p2p_websearch_80pct,reps,,238.4686598424928,,,13:258.184462065;29:229.431545268;47:228.934213105
mean_fct_us,healthy_websearch,healthy_p2p_websearch_100pct,reps,,400.9422355043583,,,13:435.991332054;29:387.999707012;47:381.009820512
mean_fct_us,healthy_websearch,healthy_p2p_websearch_40pct,mrc,,91.24919790974428,,,13:96.789712261;29:89.083372210;47:88.117328001
mean_fct_us,healthy_websearch,healthy_p2p_websearch_60pct,mrc,,139.4540222781856,,,13:152.650506321;29:133.149214098;47:133.430858081
mean_fct_us,healthy_websearch,healthy_p2p_websearch_80pct,mrc,,239.40772323347966,,,13:259.263125203;29:230.433097296;47:229.683004461
mean_fct_us,healthy_websearch,healthy_p2p_websearch_100pct,mrc,,407.6341369956641,,,13:442.986013137;29:394.614964810;47:387.478914768
mean_fct_us,healthy_websearch,healthy_p2p_websearch_40pct,sglb,,91.30068201287922,,,13:96.621069075;29:89.299377535;47:88.206744788
mean_fct_us,healthy_websearch,healthy_p2p_websearch_60pct,sglb,,139.75794274771266,,,13:153.104085334;29:133.195657432;47:133.860564581
mean_fct_us,healthy_websearch,healthy_p2p_websearch_80pct,sglb,,239.54527801285312,,,13:259.890262755;29:229.825737275;47:230.130495636
mean_fct_us,healthy_websearch,healthy_p2p_websearch_100pct,sglb,,407.7152613390719,,,13:443.988434522;29:392.254837448;47:389.162458623
mean_fct_us,healthy_websearch,healthy_p2p_websearch_40pct,n-mrc,,91.19412065829437,,,13:96.525350734;29:89.069291361;47:88.212703956
mean_fct_us,healthy_websearch,healthy_p2p_websearch_60pct,n-mrc,,139.71169604454462,,,13:152.829933387;29:133.373654500;47:133.788818825
mean_fct_us,healthy_websearch,healthy_p2p_websearch_80pct,n-mrc,,245.50778155796914,,,13:268.792627221;29:235.610232565;47:233.659953426
mean_fct_us,healthy_websearch,healthy_p2p_websearch_100pct,n-mrc,,482.58364182012247,,,13:533.273181321;29:462.785098953;47:455.395441935
mean_fct_us,asymmetric_speedup,asymmetric_p2p_permutation_4mib,ops,mrc,134.48877715022974,102.13363406703102,0.7594212411712493,13:129.721393750;29:129.979867187;47:144.268142188
mean_fct_us,asymmetric_speedup,asymmetric_p2p_permutation_8mib,ops,mrc,259.3873036716599,196.5884917528408,0.7578955830532412,13:251.629328125;29:250.544195312;47:276.821960937
mean_fct_us,asymmetric_speedup,asymmetric_p2p_permutation_16mib,ops,mrc,503.03338821642717,388.60423339910443,0.7725217500511312,13:487.213390625;29:485.410164062;47:538.223125000
mean_fct_us,asymmetric_speedup,asymmetric_p2p_tornado_4mib,ops,mrc,137.16910191815356,102.7424840144428,0.7490206072483253,13:132.642231250;29:135.505884375;47:143.591559375
mean_fct_us,asymmetric_speedup,asymmetric_p2p_tornado_8mib,ops,mrc,265.0352737980184,198.02617960876242,0.7471691476043933,13:257.542242187;29:259.773062500;47:278.271320312
mean_fct_us,asymmetric_speedup,asymmetric_p2p_tornado_16mib,ops,mrc,514.2514986266588,392.6855439265117,0.7636060273527706,13:500.494664063;29:502.710937500;47:540.516445313
mean_fct_us,asymmetric_speedup,asymmetric_p2p_permutation_4mib,reps,mrc,108.56269531764528,102.13363406703102,0.9407801986510802,13:106.825888281;29:108.369837500;47:110.524082031
mean_fct_us,asymmetric_speedup,asymmetric_p2p_permutation_8mib,reps,mrc,204.70096257510312,196.5884917528408,0.960369161335595,13:201.693234375;29:203.999507813;47:208.467906250
