scenario,scheme,spine_id,final_byte_delta,final_byte_share
asymmetric_p2p_tornado_16mib,mrc,0,557299520,0.126166508516
asymmetric_p2p_tornado_16mib,mrc,1,556808384,0.126055320703
asymmetric_p2p_tornado_16mib,mrc,2,547323840,0.123908123804
asymmetric_p2p_tornado_16mib,mrc,3,546732608,0.123774275354
asymmetric_p2p_tornado_16mib,mrc,4,547427968,0.123931697243
asymmetric_p2p_tornado_16mib,mrc,5,557210368,0.126146325479
asymmetric_p2p_tornado_16mib,mrc,6,557772992,0.126273697391
asymmetric_p2p_tornado_16mib,mrc,7,546599104,0.12374405151
asymmetric_p2p_tornado_16mib,sglb,0,558889152,0.12660200195
asymmetric_p2p_tornado_16mib,sglb,1,560856320,0.127047613403
asymmetric_p2p_tornado_16mib,sglb,2,541935168,0.122761511743
asymmetric_p2p_tornado_16mib,sglb,3,545619712,0.123596150678
asymmetric_p2p_tornado_16mib,sglb,4,543166912,0.123040531752
asymmetric_p2p_tornado_16mib,sglb,5,558336192,0.126476743046
asymmetric_p2p_tornado_16mib,sglb,6,562117760,0.127333360279
asymmetric_p2p_tornado_16mib,sglb,7,543615232,0.123142087149
asymmetric_p2p_tornado_16mib,n-mrc,0,561579264,0.127162212412
asymmetric_p2p_tornado_16mib,n-mrc,1,561092480,0.1270519866
asymmetric_p2p_tornado_16mib,n-mrc,2,543294656,0.123021904257
asymmetric_p2p_tornado_16mib,n-mrc,3,543122944,0.122983022341
asymmetric_p2p_tornado_16mib,n-mrc,4,542331072,0.122803713378
asymmetric_p2p_tornado_16mib,n-mrc,5,560921024,0.127013162652
asymmetric_p2p_tornado_16mib,n-mrc,6,561341632,0.127108403782
asymmetric_p2p_tornado_16mib,n-mrc,7,542560192,0.122855594578
