scenario,family,kind,scheme,primary_metric,primary_geomean_us,primary_min_us,primary_max_us,seed_values_us,main_max_geomean_us,ecmp_background_max_geomean_us,raw_cells,speedup_vs_ecmp
asymmetric_alltoall_background_1024mib_p16,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,29333.290803640604,28070.1,31364.8,13:31364.800000;29:28667.900000;47:28070.100000,29333.290803640604,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p16,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,29659.010705265162,29105.9,30480.7,13:30480.700000;29:29407.900000;47:29105.900000,29659.010705265162,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p16,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,38081.91965405476,36319.8,41785.1,13:41785.100000;29:36319.800000;47:36390.800000,38081.91965405476,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p16,asymmetric_alltoall_background,all_to_all,reps,all_to_all_cct_us,26534.08134934259,25754.3,28000.8,13:28000.800000;29:25754.300000;47:25905.500000,26534.08134934259,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p16,asymmetric_alltoall_background,all_to_all,sglb,all_to_all_cct_us,26491.410104663097,25917.3,27243.2,13:27243.200000;29:26331.000000;47:25917.300000,26491.410104663097,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p4,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,41637.893345738834,38979.9,44312.7,13:44312.700000;29:38979.900000;47:41792.400000,41637.893345738834,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p4,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,37808.71310217673,36049.0,39118.6,13:39118.600000;29:36049.000000;47:38326.500000,37808.71310217673,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p4,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,47168.61860851939,44497.3,51393.0,13:51393.000000;29:45890.400000;47:44497.300000,47168.61860851939,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p4,asymmetric_alltoall_background,all_to_all,reps,all_to_all_cct_us,35679.02411057711,34836.1,37193.8,13:35054.100000;29:34836.100000;47:37193.800000,35679.02411057711,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p4,asymmetric_alltoall_background,all_to_all,sglb,all_to_all_cct_us,39996.49183765444,36585.4,43751.1,13:39973.200000;29:43751.100000;47:36585.400000,39996.49183765444,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p8,asymmetric_alltoall_background,all_to_all,mrc,all_to_all_cct_us,33797.20386804135,32784.4,35848.1,13:35848.100000;29:32848.000000;47:32784.400000,33797.20386804135,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p8,asymmetric_alltoall_background,all_to_all,n-mrc,all_to_all_cct_us,31191.367461663405,30844.3,31816.7,13:31816.700000;29:30922.400000;47:30844.300000,31191.367461663405,0.0,3,0.0
asymmetric_alltoall_background_1024mib_p8,asymmetric_alltoall_background,all_to_all,ops,all_to_all_cct_us,43107.75699504807,41708.9,45739.2,13:45739.200000;29:41708.900000;47:41990.300000,43107.75699504807,0.0,3,0.0
